ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Multicellular complex forming ability
166541,Uno11,"NBRC 113153, LMG 30472, BCRC 81114",1,Dictyobacter kobayashii,GCA_003967555,1
4258,K30-10,"DSM 44907, JCM 13325, MTCC 7007, CCUG 54952, BCRC 16834, CIP 109330, NBRC 105042, NCIMB 14304",1,Dietzia kunjamensis subsp. kunjamensis,GCA_003610395,0
4261,,"DSM 45139, CCTCC AA 207015, JCM 16003, YIM 65001",1,Dietzia kunjamensis subsp. schimae,GCA_900182685,0
4255,,"DSM 44904, CCUG 50875, CIP 50875, IMMIB RIV-399, JCM 13663, IFM 10668, NBRC 102147",0,Dietzia maris,GCA_001571065,0
4259,N 1280,"DSM 44961, NCIMB 14145, JCM 15317, IFM 10921, NBRC 105045",1,Dietzia papillomatosis,GCA_001570845,0
158309,MN05,"DSM 104047, CGMCC 1.15942",1,Enterococcus wangshanyuanii,GCA_002197645,1
1242,N-4,"DSM 2522, ATCC 21833, FERM P-1141, JCM 9156, CIP 109017, FERM 1141",1,Evansella cellulosilytica,GCA_000177235,1
18103,1005,"DSM 20416, ATCC 953, NCIB 9889, CCUG 32630, JCM 1968, BCRC 10378, BCRC 17390, CGMCC 1.1917, CIP 82.109, HAMBI 2009, IAM 1790, IFO 12146, IMET 11072, KCTC 3255, NBRC 12146, NCCB 70030, NCIMB 9889",1,Exiguobacterium acetylicum,GCA_000702605,0
18107,H2,"DSM 14480, CIP 107163, KCTC 3809, CCUG 47137",1,Exiguobacterium antarcticum,GCA_000685865,0
18105,BL 77/1,"DSM 6208, ATCC 35652, NCDO 2321, NCIB 11798, CCUG 44910, NCIMB 11798, IFO 14763, CIP 103353",1,Exiguobacterium aurantiacum,GCA_000702585,0
18108,L2,"CCUG 47136, DSM 14481, CIP 107162, KCTC 3810",1,Exiguobacterium undae,GCA_000620805,0
17736,,"DSM 19247, JCM 14718, HKI 0501",1,Fodinicola feengrottensis,GCA_010993775,0
133112,BMG5.1,"CECT 9032, DSM 100624",1,Protofrankia coriariae,GCA_001017755,1
12617,"A34_1, FA1","DSM 21741, NBRC 104963, KY 13132",1,Friedmanniella luteola,GCA_900105065,0
7325,801,"DSM 10309, ATCC BAA-3, JCM 11265, KCTC 39911, CIP 107823, IAM 15122, NBRC 103066, VKM Ac-2505",1,Frigoribacterium faeni,GCA_007988805,0
166983,PL17,"CECT 9407, VKM B-3467",1,Frigoriglobus tundricola,GCA_013128195,1
7502,E1HC-02,"DSM 17894, JCM 13598, CIP 109654",1,Frondihabitans australicus,GCA_003634555,0
141098,CAM-8,"KACC 19224, JCM 31905",1,Gemmobacter straminiformis,GCA_014243445,1
130342,,"DSM 46834, CECT 8822, BMG 801, JCM 31697",1,Geodermatophilus aquaeductus,GCA_900182545,0
159073,LHW52908,"DSM 106570, CCTCC AA 2018014",1,Geodermatophilus marinus,GCA_003428645,0
5815,G-20,"CCUG 61914, KCTC 9177, DSM 43160, ATCC 25078, CBS 237.69, IAM 14282, IFO 13315, JCM 3152, KCC A-0152, NBRC 13315, IMSNU 21280, NRRL B-3577, RIA 944, VKM Ac-658",1,Geodermatophilus obscurus,GCA_000025345,0
5823,,"DSM 45317, CCM 7619, CPCC 201356, JCM 17967",1,Geodermatophilus ruber,GCA_900114385,0
5822,CF9/1/1,"DSM 45421, CCUG 62764, MTCC 11415",1,Geodermatophilus telluris,GCA_900102745,0
1771,1A-C,"DSM 14418, CCM 4963, JCM 12241, CIP 107920, NBRC 103560",1,Georgenia muralis,GCA_003814705,0
1773,,"DSM 17458, CCTCC AB 204065, KCTC 19029, NBRC 103883, YIM 004, JCM 15130",1,Georgenia ruanii,GCA_009193175,0
1776,CC-NMPT-T3,"DSM 21838, CCM 7658, NBRC 107791, CCUG 57735, JCM 17968",1,Georgenia soli,GCA_002563695,0
1774,TT 02-04,"DSM 21501, NBRC 104148",1,Georgenia thermotolerans,GCA_009193185,0
7505,,"DSM 21135, NBRC 104264, AHU 1791",1,Glaciibacter superstes,GCA_000421145,0
7582,"NANDA-189, A-189","DSM 12798, ATCC 33408, NCIMB 10583, JCM 11565, CIP 102716, IAM 14869, KCTC 3381, LMG 16219, NBRC 103060, VTT E-072694",1,Glutamicibacter nicotianae,GCA_001552115,0
7524,94,"CCUG 23842, DSM 20123, ATCC 15236, CCM 1648, NCIB 9458, JCM 1333, BCRC 11219, CDA 883, CGMCC 1.1895, CIP 82.107, HAMBI 1859, IAM 12342, IFO 14234, IMET 10353, KCTC 3382, LMG 16305, MTCC 21, NBRC 14234, NCDO 2404, NCIMB 9458, NRIC 0153, VKM Ac-1113, VKM Ac-1127",1,Glutamicibacter nicotianae,GCA_006539525,0
7568,U-23,"DSM 20647, ATCC 21749, JCM 11944, BCRC 14857, CGMCC 1.2821, CIP 102367, FERM P-789, IFO 15515, KCTC 3482, LMG 16220, NBRC 15515, NCDO 2282, NCIMB 702282, VKM Ac-1979",1,Glutamicibacter uratoxydans,GCA_006539925,0
5840,LLR-39Z-86,"DSM 44727, JCM 14910, NRRL B-16327, NBRC 103888",1,Glycomyces algeriensis,GCA_027622855,0
5841,DPL-G-76,"DSM 44726, JCM 14911, NRRL B-16153, NBRC 103886",1,Glycomyces arizonensis,GCA_000482705,0
5835,"LL-D05139, LL-DO 5139","DSM 46494, ATCC 43155, IAM 14283, IFO 14487, IMET 43812, JCM 7347, NBRC 14487, NRRL 15337, BCRC 16361, CGMCC 4.1364, CGMCC 4.3516, IMSNU 20070, KCTC 9362, KCTC 9655, NCIMB 13371, VKM Ac-1247",1,Glycomyces harbinensis,GCA_900101745,0
5842,LLR-37B-118,"DSM 44724, JCM 14912, NBRC 107746, NRRL B-16149, NBRC 104152",1,Glycomyces lechevalierae,GCA_027622945,0
5845,E71,"DSM 45047, CGMCC 4.3147, CIP 109798, NBRC 105523, JCM 15472",1,Glycomyces sambucus,GCA_900102815,1
13508,,"DSM 43935, CIP 109303, INA 3564, JCM 9110, NBRC 14988, NRRL B-24058, VKM Ac-1083, CGMCC 4.1709, IFO 14988, IMSNU 20127, KCTC 9390",1,Goodfellowiella coeruleoviolacea,GCA_000715825,0
10578,"E9028, N934","DSM 43978, ATCC 33611, JCM 6046, CIP 104184, IFO 16046, KCTC 9808, NBRC 108223, NBRC 16046, NRRL B-16934, PCM 2573",1,Gordonia aichiensis,GCA_000332975,0
10585,2102-488,"DSM 44369, IFO 16433, JCM 10677, NBRC 16433, HKI 0136, CIP 106363, IFM 10352, KCTC 9951, NCIMB 13615",1,Gordonia alkanivorans,GCA_000225505,0
10601,IEGM,"DSM 44461, CIP 108824, KCTC 9940, CCUG 48822, JCM 11271, KCTC 9899, NBRC 100051, BCRC 16387, IFM 10353",1,Gordonia amicalis,GCA_000332995,0
10613,,"DSM 44811, IFM 10211, JCM 12131, NBRC 100433, CCUG 53883, CIP 109346",1,Gordonia araii,GCA_000241265,0
10542,3410,"DSM 43247, ATCC 25592, JCM 3198, KCC A-0198, NCTC 10667, BCRC 13721, CCM 2631, CCUG 20989, CCUG 34317, CCUG 34956, CIP 100847, IFM 0150, IFO 16047, IMET 7370, IMSNU 22088, JCM 3231, KCTC 3076, LMG 5355, NBRC 16047, PCM 2167, VKM Ac-956",1,Gordonia bronchialis,GCA_000024785,0
10602,213E,"DSM 44462, CIP 109045, JCM 11762, NCIMB 40816, BCRC 16388, IFM 10355, KCTC 9941, NBRC 100010",1,Gordonia desulfuricans,GCA_001485495,0
10611,,"CCUG 53882, CIP 109345, DSM 44810, IFM 10200, JCM 12130, NBRC 100432",1,Gordonia effusa,GCA_000241305,0
10580,K 718a,"CCUG 38498, DSM 44140, CIP 105097, JCM 10105, ATCC 700255, CECT 7018, IFO 16056, KCTC 9816, NBRC 16056, PCM 2574",1,Gordonia hirsuta,GCA_000333015,0
10579,1610/1b,"DSM 44015, ATCC 700089, CIP 104672, IFO 16057, NBRC 16057, CCUG 38497, CECT 7021, JCM 10086, BCRC 16394, KCTC 9814, PCM 2575",1,Gordonia hydrophobica,GCA_001592365,0
10615,,"DSM 45064, CCUG 53555, CIP 109612, IMMIB WWCC-22, JCM 14874, IFM 10866, NBRC 108250, IMMIB WWC-22",1,Gordonia malaquae,GCA_000344135,0
10623,AD-6,"DSM 45646, CCTCC AB 209144, JCM 31031, NRRL B-59395",1,Gordonia neofelifaecis,GCA_000192435,0
10610,,"DSM 44809, IFM 10032, JCM 12355, NBRC 100426, CCUG 52243, CIP 109016",1,Gordonia otitidis,GCA_000248075,0
10607,"AS4.1730, HD321","DSM 44604, JCM 12461, BCRC 16372, CGMCC 4.1730, CIP 108331, IFM 10631, NBRC 108238, NCIMB 14305, AS 4.1730",1,Gordonia paraffinivorans,GCA_000344155,0
10596,141,"DSM 44383, IFO 16068, NBRC 16068, JCM 10426, BCRC 16393, CIP 105727, IFM 10357, KCTC 9824, NCIMB 13848, VKM Ac-2072",1,Gordonia rhizosphera,GCA_000298195,0
10559,,"DSM 43197, ATCC 14352, JCM 3204, KCC A-0204, NCIB 9664, CCUG 34957, LMG 5367, CIP 104661, BCRC 12520, IFM 10321, IFO 16048, IMET 7277, KCTC 9802, LMG 4083, NBRC 101908, NBRC 16048, NCIMB 9664, VKM Ac-1016, IMET 7217, ICPB 4415",1,Gordonia rubripertincta,GCA_000327325,0
10606,KAIST,"DSM 44576, CIP 108158, NRRL B-24155, SPR 2, JCM 13435, BCRC 16380, IFM 10619, NBRC 108236",1,Gordonia sihwensis,GCA_000333035,0
10614,CC-AB07,"DSM 44995, BCRC 16810, CIP 109465, JCM 14298, IFM 10767, NBRC 108243",1,Gordonia soli,GCA_000334455,0
10548,3612,"DSM 43249, ATCC 25594, NCTC 10669, JCM 3206, BCRC 13382, CCM 2633, CCUG 34959, CECT 5707, CIP 104295, IFM 0161, IFO 16050, IMET 7371, JCM 3229, KCTC 9807, LMG 5369, NBRC 100016, NBRC 16050, NRRL B-16283, VKM Ac-1023, CCUG 12164",1,Gordonia terrae,GCA_000248035,0
10603,"ID 3752, Kb 2","DSM 44215, JCM 11757, NRRL B-24152, CCUG 46924, CIP 107642, IFM 10629, KCTC 9954, NBRC 108237",1,Gordonia westfalica,GCA_001313785,0
158259,NEAU-cbsb5,"DSM 100485, CGMCC 1.14993",1,Gottfriedia solisilvae,GCA_002128405,1
12620,PG-02,"DSM 17626, ATCC BAA-1292, CIP 109593, JCM 15570, NBRC 107789",1,Granulicoccus phenolivorans,GCA_000423085,0
7329,ON4,"DSM 13485, CCUG 49965, LMG 21909, JCM 13320, CIP 108515, IAM 15172, NCIMB 14246",1,Gulosibacter molinativorax,GCA_000425685,0
11262,,"DSM 45015, CCTCC AA 206008, JCM 16004, YIM 90648",1,Haloactinospora alba,GCA_006717075,0
13270,,"DSM 45216, KCTC 19403, YIM 93223, JCM 18118",1,Haloechinothrix halophila,GCA_000504245,0
5850,,"DSM 45210, JCM 16899, KCTC 19481, YIM 92370",1,Haloglycomyces albus,GCA_000527155,0
8044,"6420-P, 6420P","DSM 44101, ATCC 49365, CIP 107014, FERM BP-1195, IFO 14552, JCM 9105, NBRC 14552, NRRL B-16491, VKM Ac-2010, IMSNU 22005, CGMCC 4.1403, CGMCC 4.1506, CGMCC 4.5568, KCTC 9355",1,Catellatospora tsunoensis,GCA_000428945,0
3920,6401990,"DSM 23040, CCUG 53859, CIP 109418, CSUR P17, JCM 30721",1,Helcobacillus massiliensis,GCA_014191425,0
7510,K134/01,"DSM 19813, LMG 24387, NBRC 106740, JCM 18957",1,Herbiconiux solani,GCA_001571005,0
16510,,"DSM 45652, BCC 11662, NBRC 102641, DMKUA 205, JCM 17935",1,Herbidospora sakaeratensis,GCA_001570525,0
6128,Hp a2,"DSM 589, NBRC 112828",1,Herpetosiphon giganteus,GCA_016907925,1
17737,F12,"DSM 19957, KCTC 19879, NBRC 102561",1,Iamia majanohamensis,GCA_028532485,0
6242,No.7 KIP,"DSM 43043, ATCC 23552, CUB 430, IFO 12989, IMET 7816, JCM 3097, KCC A-0097, NBRC 12989, NCIB 10167, CGMCC 4.5633, IAM 14907, IMSNU 21320, IMSNU 22007, KACC 20040, KCTC 9122, KCTC 9796, MTCC 499, NCIMB 10167, NRRL B-3866, PCM 2332, RIA 920, VKM Ac-701",1,Intrasporangium calvum,GCA_000184685,0
12584,,"DSM 16376, KCTC 19046, YIM 70177, JCM 13590, NBRC 104116, CIP 108968",1,Isoptericola halotolerans,GCA_013149785,0
12586,CLG,"DSM 21863, CCTCC AB 208287, JCM 17812",1,Isoptericola jiangsuensis,GCA_002563715,0
12583,MX5,"DSM 10177, ATCC BAA-303, CIP 109082, JCM 11754, KCTC 9985, NBRC 104115",1,Isoptericola variabilis,GCA_001313765,0
6248,2003-10,"DSM 11140, IAM 14889, IFO 16128, NBRC 16128, CCUG 37980, HKI 83, ATCC 700321, CIP 105276, JCM 10980, KCTC 9994",1,Janibacter limosus,GCA_001570985,0
6263,CM2104,"CCUG 54528, CIP 108643, DSM 16063, JCM 12321, KCTC 9987, NBRC 107855",1,Janibacter melonis,GCA_020567375,0
6260,CS12,"DSM 13876, JCM 10705, KCCM 80001, CCUG 45369, ATCC BAA-130, CIP 107018, KCTC 19953, NBRC 107853, NCIMB 14349, NBRC 107842",1,Janibacter terrae,GCA_001591405,0
6261,10N,"DSM 13953, IAM 14781, JCM 12887, CIP 106967, KCTC 19032, KCTC 9986, NBRC 107854",0,Janibacter terrae,GCA_001313905,0
17823,,"DSM 45237, CCTCC AA 208023, JCM 16901, YIM 61503",1,Jiangella alba,GCA_001708125,0
17822,D8-87,"DSM 45079, JBRI 2008, KCTC 19222, JCM 15620",1,Jiangella alkaliphila,GCA_001005145,0
17821,,"DSM 44835, CCTCC AA 204001, KCTC 19044, YIM 002, JCM 13367, BCRC 16824, CIP 108735, NCIMB 14350",1,Jiangella gansuensis,GCA_000515395,0
17825,15-Je-017,"DSM 45357, CCM 7680, CCUG 57954, JCM 17970",1,Jiangella muralis,GCA_001270745,0
158485,NEAU-YY265,"DSM 106774, CGMCC 4.7475, JCM 32551",1,Jiangella rhizosphaerae,GCA_003579925,1
159791,,"NBRC 113144, TBRC 7644, PLAI 1-1, JCM 32592",1,Micromonospora zingiberis,GCA_004331455,0
6314,55134,"DSM 20603, ATCC 14870, CIP 55134, NCTC 10816, CCUG 15532, CIP 55.134, JCM 11481, BCRC 15368, CCM 4048, CECT 918, IFM 10529, IFO 15587, IMSNU 21281, NBRC 15587",1,Jonesia denitrificans,GCA_000024065,0
6315,QH3A7,"DSM 15701, CGMCC 1.3459, CIP 108595, JCM 13009",1,Jonesia quinghaiensis,GCA_000423205,0
10620,NP8-5,"DSM 45133, CIP 110031, KCTC 19360, JCM 16948",1,Jongsikchunia kroppenstedtii,GCA_000380485,0
13290,,"DSM 43828, ATCC 39323, IFO 14493, JCM 7912, NBRC 14493, HUT 6562, IMSNU 21282, KACC 20025, KCTC 9293, NRRL B-16436, VKM Ac-1316",1,Kibdelosporangium aridum subsp. aridum,GCA_900176515,0
13291,,"DSM 44150, ATCC 39922, IFO 15152, NBRC 15152, JCM 9107, IMSNU 21347, KCTC 9363, NRRL B-24462",1,Kibdelosporangium aridum subsp. largum,GCA_000717205,0
132398,"F-240,109","DSM 46670, LMG 28181",1,Kibdelosporangium banguiense,GCA_017876405,0
13292,A80407,"DSM 44226, ATCC 49844, NRRL 18198, JCM 9918, IFO 14839, IFO 15154, KCTC 9838, NBRC 14839, NBRC 15154, NCIMB 13200",1,Kibdelosporangium philippinense,GCA_021390435,0
132134,,"DSM 104448, CCTCC AA 2010001, KCTC 19775, KLBMP 1111, JCM 31487",1,Kibdelosporangium phytohabitans,GCA_001302585,0
6316,RA 333,"DSM 7487, ATCC 51238, IFO 15268, NBRC 15268, CCUG 44589, CIP 105426, JCM 10180, CCM 4366, NCFB 3013, NCIMB 13309, VKM Ac-1947",1,Kineococcus aurantiacus,GCA_013409345,0
6318,RP-B16,"DSM 19711, JCM 16541, KCTC 19366",1,Kineococcus rhizosphaerae,GCA_003002055,0
6319,S2-20,"DSM 22857, KCTC 19474, CCTCC AB 207179, JCM 16219, NBRC 107624, CIP 110123",1,Kineococcus xinjiangensis,GCA_002934625,0
6321,A/10312,"DSM 43858, ATCC 29727, IFO 13890, IFO 14067, JCM 3230, KCC A-0230, NBRC 13890, NBRC 14067, NRRL B-16913, BCRC 13431, HUT 6563, IMSNU 21365, IMSNU 22002, KCTC 9189, KCTC 9364, NCIMB 11473, VKM Ac-702",1,Kineosporia aurantiaca,GCA_000719025,0
6325,I-463,"DSM 44390, JCM 9961, CIP 105755, IFO 16234, NBRC 16234",1,Kineosporia mikuniensis,GCA_001315725,0
6322,I-132,"DSM 44387, JCM 9954, CIP 105752, IFO 16231, NBRC 16231",1,Kineosporia rhamnosa,GCA_001315665,0
6323,I-273,"DSM 44388, JCM 9957, CIP 105753, IFO 16232, NBRC 16232",1,Kineosporia succinea,GCA_001315685,0
14850,K55-G-32,"DSM 41649, AS 4.1582, ATCC 51343, IFO 14327, JCM 3337, NBRC 14327, NRRL B-24282, VKM Ac-2005, CGMCC 4.1248, CGMCC 4.1582, IAM 15281, NRRL B-16502",1,Kitasatospora atroaurantiaca,GCA_007828955,0
15039,2758 FI,"DSM 40554, ATCC 23730, CBS 752.72, IFO 13451, IMRU 3911, IPV 1830, ISP 5554, JCM 4321, NBRC 13451, NRRL B-3447, RIA 1412, BCRC 12219, CGMCC 4.1687, IMI 126840, JCM 4725, NCIMB 11000, VKM Ac-1720",0,Kitasatospora aureofaciens,GCA_000721255,0
14861,2050-015,"DSM 44786, HKI 0314, NCIMB 13974, JCM 13003, IAM 15269, NBRC 101835",1,Kitasatospora gansuensis,GCA_014203705,0
14855,AM-9660,"DSM 43859, AS 4.1869, IFO 14371, JCM 3339, NBRC 14371, NRRL B-16229, BCRC 13377, CGMCC 4.1869, KACC 20228, KCTC 9745, KCTC 9791, MTCC 1524, VKM Ac-2002",1,Kitasatospora griseola,GCA_014648555,0
14865,,"DSM 41654, ATCC 51379, IFO 15206, NBRC 15206, JCM 9081, CGMCC 4.1917, IAM 15160, KCTC 9734, VKM Ac-2003",1,Kitasatospora kifunensis,GCA_014203855,0
14856,LL 80,"DSM 43929, ATCC 49055, IFO 14789, NBRC 14789, NRRL B-16109, JCM 9868, IAM 15162, KACC 20237, KCTC 9733, VKM Ac-2516",1,Kitasatospora mediocidica,GCA_000744225,0
15413,IPCR 7617,"DSM 40222, ATCC 23938, CBS 278.65, CBS 922.68, IFO 12891, ISP 5222, JCM 4062, JCM 4653, NBRC 12891, NRRL B-2923, RIA 1166, BCRC 13799, CGMCC 4.1437, IFM 1195, KCTC 19951, NCIMB 9852, NRRL ISP-5222, VKM Ac-625",1,Kitasatospora misakiensis,GCA_000715585,0
14853,,"DSM 41656, ATCC 51236, IFO 14769, NBRC 14769, JCM 8800, BCRC 16814, IAM 15161, KACC 20224, KCTC 9899",1,Kitasatospora paracochleata,GCA_024172095,0
16344,KA-338,"DSM 43860, IFO 14372, JCM 3340, NBRC 14372, NRRL B-16230, BCRC 12447, CCM 4152, KACC 20226, KCTC 9735, KCTC 9792, VKM Ac-2006",1,Kitasatospora phosalacinea,GCA_000716545,0
15487,,"DSM 40341, ATCC 14125, ATCC 25488, CBS 175.61, IFO 13971, JCM 4434, NBRC 13971, RIA 1268, RIA 832, ISP 5341, KCC S-0434, BCRC 12241, CBS 299.65, CBS 916.69, CGMCC 4.1465, IFO 13076, IFO 13877, KCTC 19966, NBRC 13076, NBRC 13877, NRRL B-3291, NRRL B-5753, NRRL ISP-5341, PCM 2371, VKM Ac-996",1,Kitasatospora aureofaciens,GCA_014649975,0
16345,KM 6054,"DSM 43861, ATCC 33774, IFO 14216, JCM 3304, KCC A-0304, NBRC 14216, BCRC 13404, CGMCC 4.1210, CGMCC 4.1226, CGMCC 4.1247, HUT 6571, IMSNU 21321, KACC 20032, KCTC 9182, KCTC 9793, NCIMB 13310, NRRL B-16185, PCM 2323, VKM Ac-900",1,Kitasatospora setae,GCA_000269985,0
7332,"44C3, C44","DSM 18031, ATCC BAA-1524, JCM 16542",1,Klugiella xanthotipulae,GCA_006716695,0
6272,TL1,"DSM 25785, CGMCC 1.10749, KCTC 19810, JCM 18318",1,Knoellia flava,GCA_000768675,0
6270,2163-021,"CCUG 48178, HKI 0120, DSM 12332, CIP 106776, KCTC 19937, JCM 11537, IAM 15305, NBRC 100351",1,Knoellia subterranea,GCA_000768685,0
7658,,"CCUG 55751, JCM 14118, DSM 16004, CCM 132, NBRC 110786",1,Kocuria carniphila,GCA_004136555,0
7643,TAGA27,"DSM 11925, CCM 4949, IFO 16318, NBRC 16318, CCUG 52395, CIP 105971, JCM 11652, IAM 15064, LMG 19167",1,Kocuria palustris,GCA_016907795,0
7650,,"DSM 14382, CIP 107764, MTCC 3702, CCUG 52397, CMS 76or, JCM 12076, IAM 15066, NBRC 103063",1,Kocuria rosea subsp. polaris,GCA_000786195,0
7647,TA68,"DSM 11926, CCM 4950, IFO 16319, NBRC 16319, CCUG 55752, ATCC BAA-50, CIP 105972, JCM 11653, IAM 15065, LMG 19168",1,Kocuria rhizophila,GCA_003667225,0
7641,,"DSM 20447, ATCC 186, CCM 679, NCTC 7523, CCUG 4312, IAM 1315, IFO 3768, JCM 11614, BCRC 11044, CECT 5052, CECT 52, CIP 71.15, IAM 14818, IMSNU 11063, IMSNU 21322, JCM 7236, KCCM 40158, KCTC 3137, KCTC 3199, KCTC 3488, LMG 14224, NBRC 3768, NCFB 975, NCIMB 11696, NRRL B-2977, PCM 548, VKM Ac-2200, VKM B-1236, VKM B-1823, NCDO 975",1,Kocuria rosea,GCA_003124035,0
7642,"G 33, G33","DSM 20033, ATCC 15306, CCM 884, NCDO 777, NCTC 7564, JCM 7238, BCRC 12152, CCUG 35392, CCUG 3705, CECT 230, CIP 81.73, GIFU 9844, HAMBI 1951, HAMBI 40, IAM 13594, IFO 15358, LMG 14231, NBRC 15358, NCFB 624, NCFB 777, NCIMB 11697, VKM Ac-2215, VKM B-1232, VKM B-1827, VTT E-97857, NCDO 624",1,Kocuria varians,GCA_006539885,0
12605,CC 0387,"DSM 21481, CCTCC AA 208024, JCM 16551",1,Krasilnikoviella flava,GCA_900167525,0
11079,,"DSM 18824, JCM 14599, HKI 0478, CIP 109731, NBRC 104151",1,Kribbella aluminosa,GCA_017876295,0
11083,,"DSM 24683, NBRC 107914, XMU 198",1,Kribbella amoyensis,GCA_007828865,0
11069,,"DSM 15501, CCRC 16318, CCTCC AA 00102, JCM 13523, NBRC 101882, YIM 31530, BCRC 16318, CCTCC AA 001021, KCTC 19026, CIP 108764",1,Kribbella antibiotica,GCA_004349055,0
11081,,"DSM 19601, JCM 14968, BC 631, NBRC 105864",1,Kribbella catacumbae,GCA_000372465,0
157980,"NEAU-THZ 27, NEAU-THZ27","DSM 105535, CGMCC 4.7504, NEAU THZ 27",1,Kribbella jiaozuonensis,GCA_005233875,0
158430,NEAU-SW521,"DSM 105770, CGMCC 4.7465",1,Kribbella monticola,GCA_003261635,1
11070,"C-49,009","DSM 15626, ATCC 39419, KCTC 9609, JCM 10340, CIP 107493, IMSNU 22170, IMSNU 22181, KACC 20249, NBRC 100341",1,Kribbella sandramycini,GCA_013131805,0
13293,MCRL-048,"DSM 43870, ATCC 25243, IFO 13901, NBRC 13901, JCM 3240, BCRC 13345, CGMCC 4.1347, CGMCC 4.1497, IFM 1281, IMSNU 20234, KCCM 40283, KCTC 9237, NRRL B-24060",1,Kutzneria albida,GCA_000525635,1
13295,"S2-28, S<SUB>2</SUB>-28","DSM 43851, ATCC 27102, CBS 803.70, IFO 13989, JCM 3157, NBRC 13989, BCRC 13322, IMSNU 20330, KCCM 40278, KCTC 9437, NRRL B-24061",1,Kutzneria kofuensis,GCA_014203355,0
3928,"541, 54","CCUG 33030, DSM 20547, ATCC 14392, CCM 314, JCM 11482, BCRC 17469, CECT 4619, CIP 81.72, IAM 13003, IFO 15357, IMSNU 21324, LMG 14228, NBRC 15357, NCIMB 13236, NCIMB 14423, NCMB 555, NCTC 11040, VKM Ac-2222, VKM B-1316, VKM B-1824, NCIMB 555",1,Kytococcus sedentarius,GCA_000023925,0
13517,RS-49,"DSM 45361, KCTC 19662, JCM 31489",1,Labedaea rhizosphaerae,GCA_004362825,0
6302,R-AC-013,"DSM 18607, KCTC 19200, JCM 15623, NBRC 106263, NCIMB 14544",1,Lapillicoccus jejuensis,GCA_006715055,0
7339,150,"DSM 20146, ATCC 14665, NCIB 9460, CCUG 27700, CCTM La 2040, JCM 1368, BCRC 11574, CECT 535, CIP 64.13, IAM 12441, IFO 12154, IFO 15710, KCTC 9098, KCTC 9233, NBRC 12154, NBRC 15710, NCIMB 9460, NRIC 1848, VKM Ac-1400",1,Leifsonia aquatica,GCA_000469485,0
7347,LI1,"DSM 22824, JCM 19551, NCCB 100313",1,Leifsonia psychrotolerans,GCA_013410665,0
7346,TG-S248,"DSM 23871, JCM 15679, LMG 24767",1,Leifsonia soli,GCA_013408745,0
7338,TB1A,"DSM 46306, ATCC 33973, IMET 11020, NCIB 11927, JCM 9733, CIP 104615, ICMP 8790, LMG 7552, NCIMB 11927, VKM Ac-2041",1,Leifsonia xyli subsp. cynodontis,GCA_000470775,0
13309,,"DSM 44073, AS 4.1519, CIP 104842, IFO 15855, JCM 9732, NBRC 100372, NBRC 15855, CCUG 48294, IMSNU 21253, IMMIB D-958, ATCC 51859, BCRC 16971, CGMCC 4.1519, CIP 107111, HUT 6595, KACC 20017, NRRL B-24057",1,Lentzea albidocapillata subsp. albidocapillata,GCA_000719115,0
13310,,"DSM 43393, IMRU 550, NRRL B-16137, JCM 11305, BCRC 16972, CGMCC 4.2094, KCTC 19912",1,Lentzea californiensis,GCA_024648825,0
140311,,"DSM 103464, CGMCC 4.7367, KCTC 39804, NBRC 112394, SYSU K10001",1,Lentzea cavernae,GCA_014653695,1
13297,,"DSM 43885, ATCC 29533, CIP 107110, INA 2171, JCM 3296, KCC A-0296, NCIB 11447, BCRC 13328, CGMCC 4.1715, IFO 14521, IMET 9748, IMSNU 21358, KCTC 9393, NBRC 14521, NCIMB 11447, NRRL B-16131, VKM Ac-906",1,Lentzea flava,GCA_014648475,0
23216,FXJ1.034,"DSM 45855, CGMCC 4.6609, NBRC 106680",1,Lentzea jiangxiensis,GCA_900104175,0
13314,,"DSM 44909, CIP 109797, JCM 14913, LDDC 2876-05, NRRL B-24416",1,Lentzea kentuckyensis,GCA_002150765,1
158291,,"DSM 108672, CGMCC 4.7319, KCTC 39694, DHS C021",1,Lentzea pudingi,GCA_014646255,1
13308,,"DSM 44232, AS 4.1646, ATCC 51594, IFO 14970, JCM 9114, NBRC 14970, NCIMB 13164, NRRL B-16159, CGMCC 4.1646, IMSNU 21344, KCTC 9400, VKM Ac-1970",1,Lentzea waywayandensis,GCA_900115955,0
13303,R24,"DSM 45081, CGMCC 4.3525, JCM 15473, NBRC 106319",1,Lentzea xinjiangensis,GCA_900110955,0
7355,MM2LB,"DSM 19883, LMG 24399, JCM 17022",1,Leucobacter chironomi,GCA_000421845,0
7359,JG 31,"DSM 22788, CCOS 200, JCM 17813",1,Leucobacter chromiiresistens,GCA_000231305,0
7354,K 70/01,"DSM 19811, LMG 24388, JCM 16030",1,Leucobacter tardus,GCA_017583045,0
7882,KZ0017,"DSM 45356, JCM 31208, NBRC 105670",1,Longispora fulva,GCA_015751905,0
12621,,"DSM 10546, ATCC 51526, CIP 104067, IFO 12422, JCM 9415, NBRC 12422, OUT 8086, CCUG 38731, IMSNU 21283, KCTC 9794, NCIMB 13388, NRIC 1092, VKM Ac-1951",1,Luteococcus japonicus,GCA_003752415,0
