ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Cell width
133990,L34,"CCM 8433, LMG 27164, DSM 107709",1,Enterococcus alcedinis,GCA_014635985,1.5
5344,,"DSM 17122, CCUG 48100, CIP 108559, LMG 12317",1,Enterococcus hermanniensis,GCA_001885945,0.70
5352,FP48-3,"DSM 21767, CCM 7793, KCTC 13134, NBRC 101867, NRIC 0107, PCU 282, TISTR 933",1,Enterococcus thailandicus,GCA_001886265,0.75
158401,ResAG-96,"DSM 105130, JCM 32273",1,Enteroscipio rubneri,GCA_002899715,0.4
17217,,"DSM 19135, CAIM 912, CBMAI 623, LMG 22228",1,Enterovibrio coralii,GCA_001559595,1.5
17218,,"DSM 22720, CAIM 661, CECT 7320, DAl 1-1-5",1,Enterovibrio nigricans,GCA_002835505,0.55
132372,SW014,"DSM 25033, KCTC 42425, MCCC 1K00500, CAIM 1920, JCM 17855",1,Veronia pacifica,GCA_001707825,1.45
168558,QZS01,"CGMCC 1.13498, KCTC 62495",1,Entomomonas moraniae,GCA_003991975,0.5
170924,,"BR 151, DSM 114560",1,Entomospira culicis,GCA_011812985,0.34
164343,F02,"JCM 32722, FBCC 500047, KCTC 62567",1,Ephemeroptericola cinctiostellae,GCA_003339525,0.45
24523,U95,"DSM 24752, LMG 26464",1,Epibacterium ulvae,GCA_002796795,0.5
158621,EPI-7,"KCCM 90264, JCM 31644",1,Epidermidibacterium keratini,GCA_009834025,0.40
5372,"02-143, MF-EP02","DSM 15511, CIP 107935",1,Erysipelothrix inopinata,GCA_014396165,0.5
134092,"SW110, SW-110","KCCM 41818, JCM 12189, CGMCC 1.8484, CIP 108636",1,Qipengyuania aquimaris,GCA_009827445,0.75
140998,JSSK-14,"KCTC 52764, NBRC 112765",1,Aurantiacibacter aquimixticola,GCA_003605475,0.45
140758,RC-4-10-4,"CGMCC 1.15507, JCM 31277",1,Aurantiacibacter arachoides,GCA_009827335,0.45
5396,DSW-74,"DSM 17193, KCTC 12395, DSW 74",1,Erythrobacter dokdonensis,GCA_001677335,0.50
5394,SW-132,"DSM 16220, KCTC 12229",1,Erythrobacter donghaensis,GCA_002155425,0.7
133565,K7-2,"KCTC 22330, JCM 15420",1,Aurantiacibacter gangjinensis,GCA_001010925,0.35
166688,JBTF-M21,"KACC 19864, NBRC 113584",1,Erythrobacter insulae,GCA_007004095,0.55
133796,,"KCTC 23090, JCM 16677, CNU 001",1,Parerythrobacter jejuensis,GCA_009827995,0.25
5381,T4,"DSM 8509, IAM 14332, CIP 106926",1,Erythrobacter litoralis,GCA_000714795,0.25
166340,EB310,"KCTC 72109, MCCC 1K03690",1,Erythrobacter mangrovi,GCA_013260645,0.45
133748,HWDM-33,"KCTC 23554, CCUG 60528",1,Aurantiacibacter marinus,GCA_001013305,0.4
166195,KEM-5,"KACC 19865, KCTC 62896, NBRC 113546",1,Qipengyuania marisflavi,GCA_005884405,0.50
133552,T30,"CGMCC 1.7715, JCM 16125",1,Qipengyuania nanhaisediminis,GCA_900115585,0.40
134033,JA747,"KCTC 23981, NBRC 108930",1,Aurantiacibacter odishensis,GCA_003605195,0.55
133677,UST081027-248,"JCM 17468, NRRL 59511",1,Qipengyuania pelagi,GCA_009827295,0.55
5387,E5,"DSM 8510, IAM 14333, NCIMB 13404, JCM 10282, ATCC 700003, CIP 106927, NBRC 102621",1,Erythrobacter ramosus,GCA_009828055,0.80
17689,YUAN-3,"DSM 18485, CGMCC 1.5033, JCM 12961",1,Ethanoligenens harbinense,GCA_000178115,0.60
5730,AS06/20a,"DSM 19308, CIP 109577, OOB 358",1,Eudoraea adriatica,GCA_000382125,0.69
133572,F10,"NBRC 105439, KCTC 19736",1,Euzebya tangerina,GCA_003074135,0.70
133614,7SM30,"CECT 7477, KCTC 22655, CIP 109943",1,Euzebyella saccharophila,GCA_014855495,0.4
1242,N-4,"DSM 2522, ATCC 21833, FERM P-1141, JCM 9156, CIP 109017, FERM 1141",1,Evansella cellulosilytica,GCA_000177235,0.35
24783,12/1,"DSM 21148, CCM 8459",1,Exiguobacterium alkaliphilum,GCA_000714435,0.8
133762,IMTB-3094,"MTCC 10958, JCM 17977",1,Exiguobacterium aquaticum,GCA_025234795,0.8
18115,T-2-2,"DSM 17272, JCM 12280, NCIMB 13980, CCUG 51936, CIP 108684, CIP 108634",1,Exiguobacterium oxidotolerans,GCA_000702625,0.65
18119,10c,"DSM 17289, CCUG 50949, CNCM I-2962",1,Exiguobacterium profundum,GCA_025234635,0.75
131261,S4,"DSM 100911, CGMCC 1.10977, JCM 17803",1,Extensimonas vulgaris,GCA_003337425,0.85
141117,A4,"KCTC 42507, CGMCC 1.15111",1,Roseivirga thermotolerans,GCA_014653175,0.70
166289,,"DSM 103991, KCTC 52556, SYSU SYW-5",1,Facilibium subflavum,GCA_003574485,0.60
164230,SNUG30370,"JCM 32257, KCTC 15632",1,Faecalibacillus faecis,GCA_003024675,0.35
164229,SNUG30099,"JCM 32256, KCTC 15631",1,Faecalibacillus intestinalis,GCA_003024685,0.35
167635,,"KCTC 52109, YIM 102668, CCTCC AB 2016016",1,Faecalibacter macacae,GCA_003687725,0.65
140268,EGH7,"DSM 103426, JCM 30896",1,Faecalimonas umbilicata,GCA_003402615,1.15
166490,GY 10110,"CGMCC 1.13648, NBRC 113502",1,Falsibacillus albus,GCA_003668575,0.80
1409,CW 7,"DSM 25281, CCTCC AB 207188, KCTC 13200, LMG 24451, CIP 109936, BCRC 80032",1,Falsibacillus pallidus,GCA_003350505,0.85
23811,B1315,"DSM 26720, CCM 8460, LMG 27356, CIP 110569",1,Falsochrobactrum ovis,GCA_003259955,1
5754,UST040201-002,"DSM 21703, JCM 14605, NRRL B-41860",1,Fangia hongkongensis,GCA_000379445,0.525
159721,An22,"JCM 30584, NBRC 112974, ATCC TSD-51",1,Ferrigenium kumadai,GCA_018324385,0.29
108,T23,"DSM 19497, ATCC BAA-1647, DSM 11138",1,Ferrimicrobium acidiphilum,GCA_000745905,0.5
5455,A4D-4,"DSM 16917, CIP 109004, MBIC 06480, NBRC 102583",1,Ferrimonas marina,GCA_900129905,0.35
24008,JYr13,"DSM 23317, LMG 25564, JCM 17552",1,Ferrimonas sediminum,GCA_900100175,0.5
166235,WD2A32,"KCTC 52888, MCCC 1H00201",1,Ferruginivarius sediminum,GCA_003344765,0.55
23861,AeB,"DSM 25808, JCM 15555, KCTC 5667",1,Fervidicella metallireducens,GCA_000601455,1
17820,Kam940,"DSM 19380, JCM 18336, VKM B-2539",1,Fervidicoccus fontis,GCA_000258425,2.00
16698,Y170,"DSM 21121, JCM 15106, KCTC 5610",1,Fervidicola ferrireducens,GCA_001562425,0.95
17038,CBS-1,"DSM 17883, JCM 13353",1,Fervidobacterium changbaicum,GCA_004117075,0.55
17033,Rt17-B1,"DSM 5306, ATCC 35602",1,Fervidobacterium nodosum,GCA_000017545,0.53
133268,FC2004,"JCM 18757, ATCC BAA-2483, ATCC AA-2483",1,Fervidobacterium thailandense,GCA_001719065,0.55
166120,HYT19,"CCTCC AB 2018342, JCM 33105",1,Fibrisoma montanum,GCA_003583365,0.85
158767,GDSW-R2A3,"VTCC B-910015, CCM 8782",1,Fictibacillus aquaticus,GCA_002245695,0.42
1218,R-13853,"DSM 15865, LMG 21880",1,Fictibacillus gelatini,GCA_000430745,0.7
132548,,"DSM 100124, KCTC 33758, MCC 2765, AS 8",1,Fictibacillus halophilus,GCA_016401385,0.65
1245,ZFHKF-1,"DSM 17262, JCM 13285, CIP 109160, NCIMB 14300",1,Fictibacillus macauensis,GCA_000269865,1.00
1285,YC1,"DSM 25243, CGMCC 1.6854, KCTC 13181, JCM 14863, BCRC 80435",1,Fictibacillus solisalsi,GCA_900103485,0.9
166480,TB-66,"CIP 111629, LMG 30660, CCM 8866, DSM 107336",1,Filibacter tadaridae,GCA_900609045,0.75
167944,TTM-71,"BCRC 81160, LMG 31017, KCTC 62871",1,Filimonas effusa,GCA_004118675,0.50
17763,YT21,"DSM 21054, NBRC 104114",1,Filimonas lacunae,GCA_002355595,0.4
132574,772,"DSM 100760, CGMCC 1.15290",1,Filimonas zeae,GCA_014641615,0.30
159764,ECD12,"KCTC 52351, JCM 32292",1,Flagellimonas aquimarina,GCA_003149745,0.40
24011,YS10,"DSM 26273, IAM 15451, JCM 23196, NCIMB 14281",1,Flammeovirga kamogawensis,GCA_007097495,0.80
24012,WPAGA1,"DSM 24597, CCTCC AB 2010364, LMG 26175, MCCC 1A06425",1,Flammeovirga pacifica,GCA_000807855,0.65
164473,17J68-12,"JCM 33179, KCTC 62219",1,Flaviaesturariibacter flavus,GCA_004337505,1.00
23525,H5,"DSM 24315, CICC 10486",1,Flaviflexus huanghaiensis,GCA_014118685,0.45
133534,T41,"CGMCC 1.7723, NBRC 106054",1,Flavihumibacter petaseus,GCA_000974785,0.45
133189,CJ663,"KACC 18874, JCM 31431",1,Flavihumibacter sediminis,GCA_022352285,0.5
164573,R14,"JCM 33473, KACC 21229",1,Flavihumibacter soli,GCA_010692725,0.45
133199,YS-17,"CCTCC AB 2016053, KCTC 52205",1,Flavihumibacter stibioxidans,GCA_014332695,0.25
140822,MDM-7,"KCTC 42722, CECT 8899",1,Flavimaricola marinus,GCA_900184895,0.85
17762,GS643,"DSM 18119, KCTC 12657, Gsoil 643, CIP 109741",1,Flavisolibacter ginsengisoli,GCA_900129295,0.5
166534,X7X,"KCTC 62326, CGMCC 16451",1,Flavisolibacter nicotianae,GCA_003628535,0.65
140505,LCS9,"KCTC 42070, JCM 19972",1,Flavisolibacter tropicus,GCA_001644645,0.40
140955,ECD14,"KCTC 52352, JCM 31797",1,Flavivirga eckloniae,GCA_002886045,0.30
24021,JJ013,"DSM 25663, JCM 18211, KACC 16594",1,Flavobacterium aciduliphilum,GCA_003268855,0.35
166415,SSM4.2,"KCTC 72807, MCCC 1K04370",1,Flavobacterium ajazii,GCA_010614725,0.62
24024,IK-1,"DSM 25510, ATCC BAA-2412, CIP 110358",1,Flavobacterium akiainvivens,GCA_001278115,0.4
159806,HYN0059,"KACC 19183, NBRC 112744",1,Flavobacterium album,GCA_003096035,0.45
158819,HR-AY,"KACC 19407, JCM 32264",1,Flavobacterium alvei,GCA_002920895,0.45
166172,LLJ-11,"BCRC 81124, LMG 30599, KCTC 62514",1,Flavobacterium amnicola,GCA_004122165,0.25
158535,KYPY10,"BCRC 81006, LMG 29727, KCTC 52443",1,Flavobacterium amniphilum,GCA_023634845,0.25
5570,D3,"DSM 22555, CGMCC 1.6859, KCTC 22128, JCM 14864, CIP 109938",1,Flavobacterium anhuiense,GCA_900101855,0.3
5557,AT1026,"DSM 19726, CIP 108750, IMSNU 14042, JCM 12383, KCTC 12222, KCTC 23290, KCTC 52532, LMG 25319",1,Flavobacterium antarcticum,GCA_000419685,0.35
133997,JC164,"KCTC 32196, CGMCC 1.12398, LMG 27251",1,Flavobacterium aquaticum,GCA_003259835,0.35
132986,TMd3a3,"DSM 100880, JCM 30987, BCRC 81042",1,Flavobacterium aquicola,GCA_003385115,0.55
5550,"WB1.1-56, 1.1-56","DSM 18293, CCUG 59847, CIP 109242, KCTC 22840, WB 1.1-56",1,Flavobacterium aquidurense,GCA_002217195,0.9
5585,LM-19-Fp,"DSM 24704, CCM 7939, CCUG 61031, LMG 26359",1,Flavobacterium araucananum,GCA_002222055,0.9
133125,SM1502,"KCTC 42668, CCTCC AB 2015346",1,Flavobacterium arcticum,GCA_003344925,0.45
158736,TH167,"CGMCC 1.15805, LMG 29719",1,Flavobacterium aurantiibacter,GCA_002251775,0.90
133598,F44-8,"CCTCC AB 209067, LMG 25233, MCCC 1A02877",1,Flavobacterium beibuense,GCA_000769915,1.35
133522,LM5,"CGMCC 1.7031, NBRC 104239, CIP 110388",1,Flavobacterium caeni,GCA_900101895,0.5
167772,AR-3-4,"KEMB 9005-740, KACC 21171, NBRC 113787",1,Flavobacterium cellulosilyticum,GCA_004349355,0.70
166270,1E403,"KCTC 62960, MCCC 1H00356",1,Flavobacterium cerinum,GCA_004028155,0.40
5572,NJ-26,"DSM 22462, CGMCC 1.6844, NBRC 103934, CIP 109891, KACC 14365",1,Flavobacterium cheniae,GCA_004363695,0.40
5586,LM-09-Fp,"DSM 24724, CCM 7940, LMG 26360, CCUG 61032",1,Flavobacterium chilense,GCA_001602525,0.9
133489,CJ7,"KACC 13353, JCM 15651, CCUG 58910, CIP 110025, LMG 26729",1,Flavobacterium chungangense,GCA_000735715,0.65
5551,1-S-2cl (Anacker 1956),"DSM 18644, ATCC 23463, CIP 103531, JCM 21141, LMG 10406, LMG 13035, NBRC 100251, NCIMB 2248, IAM 14301, NCMB 1038",1,Flavobacterium columnare,GCA_002530675,0.40
158765,PK15,"KCTC 52562, JCM 32115, CIP 111714",1,Flavobacterium commune,GCA_001857965,0.45
133395,LPB0076,"KACC 18706, JCM 31219",1,Flavobacterium crassostreae,GCA_001686945,0.45
159807,HYN0056,"KACC 19182, NBRC 112743",1,Flavobacterium crocinum,GCA_003122385,0.42
5565,R2A45-3,"DSM 18830, CIP 109888, KACC 11732",1,Flavobacterium cucumis,GCA_900148835,0.5
24023,E89,"DSM 25795, CIP 110384, LMG 26922",1,Flavobacterium cutihirudinis,GCA_003385895,0.9
158657,TH021,"LMG 29720, CGMCC 1.16325",1,Flavobacterium cyanobacteriorum,GCA_002251835,0.80
5546,GH1-10,"DSM 17708, CIP 109900, KACC 11422, CIP 110192",1,Flavobacterium daejeonense,GCA_000425425,0.5
5587,"ARSA-19, ARSA-19(T)","DSM 25687, JCM 17065, KACC 14968, KCTC 23179",1,Flavobacterium dankookense,GCA_004362665,0.5
5567,EMB 117,"CCUG 59869, DSM 17963, CIP 109898, KCTC 12612",1,Flavobacterium defluvii,GCA_900129555,0.45
5539,ED5,"DSM 15936, ATCC BAA-842, CIP 109214",1,Flavobacterium denitrificans,GCA_000425445,0.6
133825,DK69,"CCTCC AB 2011144, KCTC 23775",1,Flavobacterium enshiense,GCA_000498495,0.35
5569,"EMB 34, EMB34","DSM 17961, KCTC 12610, CIP 109743",1,Flavobacterium filum,GCA_000425465,0.55
5513,A-34,"DSM 1076, ATCC 27944, IAM 14303, JCM 21143, ACAM 579, CCM 2740, CCUG 14832, CIP 104740, IFO 14960, LMG 8328, NBRC 14960, NCIMB 12056",1,Flavobacterium flevense,GCA_006539745,0.60
5579,H7,"DSM 19978, KACC 12818, CIP 110184",1,Flavobacterium fluvii,GCA_900129545,0.8
158613,CJ42,"KACC 19302, JCM 32085",1,Flavobacterium foetidum,GCA_004634245,0.68
5541,,"DSM 16209, CIP 108325, LMG 22022",1,Flavobacterium fryxellicola,GCA_001637185,1.25
133319,EM1308,"KACC 18113, JCM 30144",1,Flavobacterium gilvum,GCA_000735535,0.50
134059,,"KCTC 23318, JCM 17336, DCY 54, BCRC 81040, CIP 110819",1,Flavobacterium ginsengisoli,GCA_029625315,0.75
133551,Gm-149,"ICMP 17618, NBRC 105008, CIP 110235",1,Flavobacterium glycines,GCA_001686935,0.25
140383,JM-222,"DSM 100397, CCM 8610, LMG 28821, CIP 111493, CIP 110906",1,Flavobacterium gossypii,GCA_014138495,1
5547,KW05,"DSM 17797, IAM 15099, JCM 21560, KCTC 12201, NBRC 102009, DSM 19729, CIP 108709",1,Flavobacterium granuli,GCA_003003155,0.4
5580,LQY-7,"DSM 22807, ACCC 05409, KCTC 23008, CIP 110398",1,Flavobacterium haoranii,GCA_009363055,0.50
5568,WB4.2-33,"DSM 18292, LMG 26768, CIP 109241, WB 4.2-33",1,Flavobacterium hercynium,GCA_002217285,0.75
133360,THG-HG1.4,"KACC 18852, CCTCC AB 2016178",1,Flavobacterium hibisci,GCA_020026925,0.65
5512,N,"DSM 2063, ATCC 29551, CCUG 35201, NCIMB 2215, LMG 8385, Cy aq1, CIP 104741, Cy aq 1",1,Flavobacterium hydatis,GCA_000737695,0.55
5515,UW 101,"CCUG 35202, NCIMB 11054, LMG 1341, CFBP 3036, CIP 100931, JCM 8514, DSM 2064, ATCC 17061, IAM 14304, IFO 14942, NBRC 14942, NCIB 11054, Cy j3, MYX 1.1.1, BCRC 14874, GIFU 2500, LMG 1340, NCCB 96103, MYX 1.1.1.",1,Flavobacterium johnsoniae subsp. johnsoniae,GCA_000016645,0.35
158639,WV39,"KCTC 42908, CECT 9085",1,Flavobacterium kingsejongi,GCA_003076475,0.45
166500,LB2P30,"CGMCC 1.11271, NBRC 113059",1,Flavobacterium laiguense,GCA_003097655,0.65
158745,THG-AG6.4,"KACC 18851, CGMCC 1.16060",1,Flavobacterium limi,GCA_010645075,0.45
5571,IP-10,"DSM 21886, CCM 7424, MTCC 8597, CIP 109890",1,Flavobacterium lindanitolerans,GCA_002846575,0.5
158743,,"KCTC 52572, NBRC 112527, IMCC 26026",1,Flavobacterium luteum,GCA_008806775,0.40
140887,HQQ,"CGMCC 1.15347, KCTC 42935",1,Flavobacterium lutivivi,GCA_014642275,0.35
167796,,"YIM 102600, CCTCC AB 201632, KCTC 52099",1,Flavobacterium macacae,GCA_003865365,0.55
159809,HYN0048,"KACC 19180, NBRC 112740",1,Flavobacterium magnum,GCA_003055625,0.75
133979,SW105,"CGMCC 1.10825, JCM 18132",1,Myroides aquimaris,GCA_900108395,0.4
133920,N1,"MTCC 11155, JCM 17678",1,Flavobacterium nitratireducens,GCA_029625335,0.25
133902,R-HLS-17,"CGMCC 1.10076, NBRC 108844",1,Flavobacterium noncentrifugens,GCA_007992475,0.35
159808,HYN0049,"KACC 19181, NBRC 112741",1,Flavobacterium pallidum,GCA_003097535,1.04
5528,81,"DSM 6368, ATCC 19366, IAM 14307, NCIB 9059, Dorey 81, Cy p1, JCM 8518, CIP 104742, IFO 15945, LMG 4031, LMG 8366, NBRC 15945, NCIMB 9059, VKM B-1171",1,Flavobacterium pectinovorum,GCA_002217365,0.45
166492,ICH-30,"BCRC 81122, LMG 30579, KCTC 62513",1,Flavobacterium piscinae,GCA_004122145,0.60
5540,R-7582,"DSM 16141, CIP 108326, LMG 22018, KCTC 22843",1,Flavobacterium psychrolimnae,GCA_003312425,0.5
5529,3068,"DSM 3660, IAM 14308, NCMB 1947, JCM 8519, ATCC 49418, CCM 3594, CCUG 35200, CIP 103534, IFO 15942, LMG 13179, NBRC 100250, NBRC 15942, NCIMB 1947",1,Flavobacterium psychrophilum,GCA_002217405,0.45
159751,P3922,"LMG 30616, CCM 8827",1,Flavobacterium psychroterrae,GCA_018380615,0.40
168505,RB1R5,"NBRC 113060, CGMCC 1.23024",1,Flavobacterium psychrotolerans,GCA_003097635,0.55
140761,EA-12,"CGMCC 1.15345, NBRC 111769",1,Flavobacterium quisquiliarum,GCA_019308285,0.35
133758,FCS-5,"MTCC 10967, JCM 17928, CIP 110368",1,Flavobacterium rakeshii,GCA_009741375,1.4
166271,LB2P22,"CGMCC 1.11361, NBRC 113777",1,Flavobacterium ranwuense,GCA_004349315,0.49
5577,WB3.2-61,"DSM 21791, CIP 109866, WB 3.2-61",1,Flavobacterium reichenbachii,GCA_002217435,1
5573,BD-b365,"DSM 19382, CIP 109941, KCTC 22078, CCUG 59848",1,Flavobacterium resistens,GCA_009674815,0.50
5575,WB3.3-2,"DSM 21788, CIP 109865, CCUG 58934, WB 3.3-2",1,Flavobacterium rivuli,GCA_000378485,0.5
5516,024,"DSM 1811, IAM 14309, NCMB 2072, JCM 8520, ACAM 581, ATCC 49530, CIP 104743, IFO 15944, LMG 8384, NBRC 15944, NCIMB 2072",1,Flavobacterium saccharophilum,GCA_900142735,0.60
5558,S13,"DSM 21664, CGMCC 1.3801, JCM 13331, CCUG 60843, CIP 109164",1,Flavobacterium saliperosum,GCA_000498515,0.45
5574,"SS7, YC06274","DSM 21067, CIP 110183, KCTC 22246",1,Flavobacterium sasangense,GCA_000686885,0.4
158690,YSM-43,"KACC 19435, KCTC 62142, NBRC 113020",1,Flavobacterium sediminilitoris,GCA_023008245,0.35
159816,,"KCTC 62132, JCM 32291, MEBiC 07310",1,Flavobacterium sediminis,GCA_003148385,0.50
5561,AT1048,"DSM 19741, CIP 109332, IMSNU 14050, JCM 12385, KCTC 12224",1,Flavobacterium segetis,GCA_900129575,0.25
166201,RD-2-33,"KEMB 9005-742, KACC 21178, NBRC 113789",1,Flavobacterium silvisoli,GCA_004329815,0.45
133555,"0533, 533","CGMCC 1.8704, JCM 16398, CIP 110296",1,Flavobacterium sinopsychrotolerans,GCA_900110375,0.35
5559,DS-6,"DSM 19725, CIP 108840, KCTC 12542",1,Flavobacterium soli,GCA_000422705,0.45
141075,G16-7,"CGMCC 1.15461, KCTC 42947",1,Flavobacterium suaedae,GCA_014642915,0.50
5576,WB4.1-42,"DSM 21790, CIP 109867, WB 4.1-42",1,Flavobacterium subsaxonicum,GCA_000422725,1.5
166491,BBQ-12,"BCRC 81049, LMG 30051, KCTC 52809",1,Flavobacterium sufflavum,GCA_004016525,0.45
5545,"GH 29-5, GH29-5","DSM 17707, CIP 109901, KACC 11423",1,Flavobacterium suncheonense,GCA_000430025,0.3
5578,WB2.3-68,"DSM 21789, CIP 109868, WB 2.3-68",1,Flavobacterium swingsii,GCA_900111965,0.3
5564,R2A1-13,"DSM 18829, CIP 109887, KACC 11731",1,Flavobacterium terrae,GCA_900142035,0.5
5549,DS-20,"DSM 17934, CIP 109939, KCTC 12761",1,Flavobacterium terrigena,GCA_900108955,0.45
133486,"0563, 563","CGMCC 1.6847, JCM 15087, CIP 110391",1,Flavobacterium tiangeerense,GCA_007830355,0.45
166416,YH5,"CICC 24247, KCTC 62174",1,Flavobacterium tibetense,GCA_003293845,0.45
141070,GB 56.1,"TISTR 1612, KCTC 42679",1,Flavobacterium tistrianum,GCA_003254545,0.55
141064,THG-DN8.8,"KCTC 42726, CCTCC AB 2015295",1,Flavobacterium tyrosinilyticum,GCA_023656565,0.40
133702,DS-12,"CCM 7847, MTCC 10766",1,Flavobacterium ummariense,GCA_900115115,0.5
133685,Sr25,"CGMCC 1.9230, NBRC 106480",1,Flavobacterium urumqiense,GCA_900108015,0.43
166281,T13,"KCTC 62874, ACCC 60126",1,Flavobacterium ustbae,GCA_003946915,0.45
5560,AT1042,"DSM 19727, CIP 109334, IMSNU 14048, JCM 12384, KCTC 12223",1,Flavobacterium weaverense,GCA_003688495,0.45
133684,Sr22,"CGMCC 1.9227, NBRC 106479",1,Flavobacterium xueshanense,GCA_900112975,0.35
140492,,"KCTC 39536, CGMCC 1.15085, YIM 7505, JCM 30628",1,Flexivirga endophytica,GCA_014640635,0.70
167730,SM1902,"KCTC 72045, MCCC 1K03596, CCTCC AB 2018346",1,Meridianimarinicoccus aquatilis,GCA_004358675,1.95
132964,4DR5,"DSM 105135, JCM 19370, KCTC 32475",1,Fluviicoccus keumensis,GCA_004217445,1.05
166121,MAH-3,"KACC 19742, CGMCC 1.13750",1,Fluviicola chungangensis,GCA_007558725,0.45
3249,RW262,"DSM 16823, NCIMB 13979",1,Fluviicola taffensis,GCA_000194605,0.45
133644,,"DSM 21935, ACCC 10716, YIM D17",1,Fodinibius salinus,GCA_008124865,0.3
14023,,"DSM 21160, CCTCC AA 208037, YIM D812",1,Fodinicurvata fenggangensis,GCA_000686045,0.30
14024,,"DSM 21159, KCTC 22351, YIM D82",1,Fodinicurvata sediminis,GCA_000420625,0.4
24294,P11-6,"DSM 28129, CECT 7605, CIP 110592, KCTC 13564",1,Fontibacillus panacisegetis,GCA_900102215,0.65
22969,BELH25,"DSM 24455, JCM 17559",1,Fonticella tunisiensis,GCA_004364155,0.5
5588,M-2Alg 35-1,"DSM 15362, KCTC 12365, LMG 23005, KMM 3901, DSM 19837",1,Formosa agariphila,GCA_000723205,0.50
131144,,"DSM 16476, KMM 3553",1,Formosa algae,GCA_001439665,0.65
133320,AHQ-12,"BCRC 80690, LMG 27847, KCTC 32501, DSM 109231",1,Formosimonas limnophila,GCA_014652675,0.35
140267,AT2,"DSM 100451, CSUR P2014",1,Allofournierella massiliensis,GCA_004345265,0.5
141095,DL503,"LMG 29914, CGMCC 1.15944",1,Franconibacter daqui,GCA_014644275,1.00
4377,513/05,"DSM 18396, CCUG 54944, CIP 109630, LMG 23732, JCM 16470",1,Franconibacter helveticus,GCA_000463115,1
4380,601/05,"DSM 19144, LMG 24057, JCM 16471, CIP 110811",1,Franconibacter pulveris,GCA_000621185,0.95
158273,"DLB, Dho","DSM 106169, NCCB 100648",1,Frateuria defendens,GCA_001182895,0.25
17461,VA24,"DSM 26515, CGMCC 1.7053, NBRC 104236",1,Frateuria terrea,GCA_900109025,0.4
23457,SGP1,"DSM 25557, JCM 16858",1,Fretibacterium fastidiosum,GCA_000210715,1.25
12617,"A34_1, FA1","DSM 21741, NBRC 104963, KY 13132",1,Friedmanniella luteola,GCA_900105065,1.35
132158,PEB0191,"DSM 104328, ATCC BAA-2450, NCIMB 14821",1,Frischella perrara,GCA_000807275,0.5
7502,E1HC-02,"DSM 17894, JCM 13598, CIP 109654",1,Frondihabitans australicus,GCA_003634555,0.30
6696,F9-1,"DSM 22689, JCM 16035, NRIC 0771",1,Fructilactobacillus florum,GCA_001311215,0.8
6863,"LC-51, LC51","DSM 15468, CECT 5759, JCM 17832, BCRC 81234, CIP 109309, LMG 23899, NCIMB 14364, NRIC 0698",1,Fructobacillus pseudoficulneus,GCA_001047115,0.90
6865,F214-1,"DSM 23246, JCM 16675, BCRC 81232",1,Fructobacillus tropaeoli,GCA_001047135,0.8
5993,"Z-7100, Z7100","DSM 24880, VKM B-2667",1,Fuchsiella alkaliacetigena,GCA_023227765,0.35
166200,313,"CGMCC 4.7453, DSM 106216",1,Fudania jinshanensis,GCA_003073475,0.50
528,,"DSM 15513, ATCC BAA-666, KCTC 12091, CCUG 52903, CIP 108376, HTCC 2506",1,Fulvimarina pelagi,GCA_001463845,0.70
133772,AK7,"MTCC 11053, JCM 17390",1,Fulvivirga imtechensis,GCA_000331535,0.4
134217,,"CCTCC AB 206119, KCTC 12832, KMM 6220, JCM 16186, NBRC 106557",1,Fulvivirga kasyanovii,GCA_009711405,0.25
141065,TM-6,"KCTC 42720, CECT 9024",1,Fulvivirga lutimaris,GCA_009711525,0.25
4148,B7-43,"DSM 16056, ATCC BAA-905",1,Fundidesulfovibrio putealis,GCA_000429325,0.7
6601,CS1,"CCUG 52239, ATCC BAA-822, DSM 15814, CIP 109910, JCM 16176, LMG 22972, VTT E-052790",1,Furfurilactobacillus rossiae,GCA_000277855,0.5
18033,BELH1,"DSM 24436, JCM 17481",1,Fusibacter tunisiensis,GCA_016908355,0.5
5590,SMK-12,"DSM 17032, KCTC 12379, JCM 12931, IAM 15373, CIP 108967",1,Gaetbulibacter saemankumensis,GCA_000425645,0.45
160213,"JZ-R-35, JZ R-35","DSM 107699, LMG 30901",1,Galactobacter valiniphilus,GCA_003575975,0.95
133892,ck-I2-15,"CCTCC AB 209062, LMG 25228, MCCC 1A03044",1,Galbibacter marinus,GCA_000300875,0.45
134228,Mok-17,"NBRC 101624, CIP 109219",1,Galbibacter mesophilus,GCA_023721415,0.6
130813,3-C-1,"DSM 100312, CCTCC AB 209060, LMG 25226, MCCC 1A01354",1,Gallaecimonas xiamenensis,GCA_000299915,0.55
140312,RP51,"DSM 100235, CCM 8606, LMG 28778",1,Galliscardovia ingluviei,GCA_014635685,0.50
134131,IC158,"ACAM 1054, CIP 108531",1,Gelidibacter gilvus,GCA_004115975,0.5
134132,IC162,"ACAM 1053, CIP 108532",1,Gelidibacter salicanalis,GCA_007997285,0.5
158276,RAM11,"DSM 29853, NCAIM B.02618",1,Gellertiella hungarica,GCA_014197145,0.50
162600,CC-PW-75,"JCM 19754, BCRC 80759",1,Gemmobacter aestuarii,GCA_004799285,0.95
