ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Gram stain
14032,,"DSM 19121, ATCC BAA-1179, CCUG 48947, KCTC 15238, WAL 8301, JCM 16773",1,Alistipes shahii,GCA_000210575,negative
535,WN 13,"DSM 5271, ATCC 700606, JCM 12303, CIP 106702, IAM 14937, LMG 17943, NBRC 103110",1,Alkalibacillus haloalkaliphilus,GCA_007991275,positive
22946,3AD-1,"DSM 25751, JCM 18271",1,Alkalibacterium gilvum,GCA_900109085,positive
2243,T22-1-2,"DSM 19180, NBRC 103247, NRIC 0724",1,Alkalibacterium kapii,GCA_007988865,positive
2242,WW2-SN4a,"DSM 13175, NCIMB 13710, CIP 107107",1,Alkalibacterium olivapovliticum,GCA_003003275,positive
2246,T143-1-1,"DSM 19183, NBRC 103242, NRIC 0719",1,Alkalibacterium pelagium,GCA_007991315,positive
2245,T129-2-1,"DSM 19182, NBRC 103243, NRIC 0720",1,Alkalibacterium putridalgicola,GCA_007988845,positive
2244,T117-1-2,"DSM 19181, NBRC 103241, NRIC 0718",1,Alkalibacterium thalassium,GCA_900101165,positive
5453,CP11,"CCUG 57164, DSM 22112, ATCC BAA-1772, KCTC 15124",1,Alkalibaculum bacchi,GCA_003317055,negative
1277,CG-15,"DSM 18086, CCM 7371, CECT 7153, CGMCC 1.6292, CIP 109712",1,Alkalicoccus chagannorensis,GCA_000429725,positive
22921,,"DSM 26767, CGMCC 1.10369, DLS 13, JCM 17097, NBRC 107572",1,Alkalicoccus daliensis,GCA_900103955,positive
140264,BZ-SZ-XJ29,"DSM 29191, CGMCC 1.12936, JCM 30193",1,Alkalicoccus halolimnae,GCA_008014775,positive
1235,6AG,"DSM 15402, ATCC BAA-957",1,Alkalicoccus saliphilus,GCA_003044065,positive
132547,BZ-SZ-XJ18,"DSM 29145, JCM 30195",1,Alkalicoccus urumqiensis,GCA_002993335,positive
17805,Z-7010,"DSM 15055, VKM B-2311",1,Alkaliflexus imshenetskii,GCA_000517065,negative
572,1,"DSM 485, ATCC 27647, JCM 5262, NCIB 10436, NCIB 8772, NCTC 4553, CCUG 28516, NRRL B-14309, BCRC 15419, CECT 1, CGMCC 1.3604, CIP 103410, IAM 12461, IFO 15653, KCTC 1824, KCTC 3884, LMG 17938, LMG 7120, NBRC 15653, NCIMB 10436, NCIMB 8772, NRRL NRS-1548, VTT E-87298",1,Alkalihalobacillus alcalophilus,GCA_000292245,positive
1229,JMM-4,"DSM 16346, CIP 108766, JCM 12340",1,Alkalihalobacillus macyae,GCA_001039475,positive
1294,SU1,"DSM 25300, KCTC 13244, NBRC 102646",1,Alkalihalobacillus trypoxylicola,GCA_001590785,positive
1300,GMBAE72,"DSM 21297, JCM 15719, GMBE 72",1,Alkalihalophilus marmarensis,GCA_000474275,positive
1109,"C 324, PN 3","DSM 8715, ATCC 700159, NCIB 10283, CIP 105299, NCIMB 10283",1,Alkalihalophilus pseudofirmus,GCA_029094545,positive
166505,34079,"KCTC 62428, MCCC 1K03493",1,Alkalilacustris brevis,GCA_003350345,negative
4267,MLHE-1,"DSM 17681, ATCC BAA-1101",1,Alkalilimnicola ehrlichii,GCA_000014785,negative
160373,LacV,"DSM 100017, JCM 30644",1,Alkaliphilus pronyensis,GCA_009017275,positive
160178,LacT,"DSM 100337, JCM 30643",1,Alkaliphilus serpentinus,GCA_009017255,positive
133913,JC133,"KCTC 15220, NBRC 109056",1,Alkalispirochaeta sphaeroplastigenens,GCA_002916695,negative
17816,SC/BZ-SP2,"DSM 24412, ATCC BAA-2172",1,Alkalitalea saponilacus,GCA_002201795,negative
17113,MR2,"DSM 15230, ATCC BAA-610, CCUG 48567, CIP 108260",1,Allisonella histaminiformans,GCA_900103425,negative
133636,B3A,"BCRC 17939, LMG 24826",1,Allobacillus halotolerans,GCA_018967645,positive
141012,,"NBRC 110719, DSM 29531, CPCC 204077",1,Allobranchiibius huperziae,GCA_013410455,positive
8051,Sco-B14,"DSM 45362, KCTC 19661",1,Allocatelliglobosispora scoriae,GCA_014204945,positive
131413,"AX1YC10, AX1YPE","DSM 21881, KCTC 15448",1,Allochromatium humboldtianum,GCA_013385175,negative
132684,08HL01032,"DSM 102975, ATCC BAA-2361, CCUG 60119, NCTC 13503",1,Allofrancisella guangzhouensis,GCA_000815225,negative
132682,,"DSM 101834, KCTC 42968, SYSU YG23",1,Allofrancisella inopinata,GCA_004365555,negative
2248,01-570-1,"DSM 15817, CCUG 45438, CIP 107425",1,Allofustis seminis,GCA_000374325,positive
2249,,"DSM 7252, ATCC 51267, NCFB 2890, CCUG 32997, CIP 103508, CCM 4306, NCIMB 702890, IFO 1545",1,Alloiococcus otitis,GCA_000315445,positive
11192,I10A-01259,"DSM 45601, CPCC 203428, KCTC 19844, JCM 31480, JCM 31481",1,Allonocardiopsis opalescens,GCA_003002095,positive
23199,81/4 12,"DSM 22548, CCUG 58091, KCTC 15416",1,Alloprevotella rava,GCA_014195585,negative
166247,,"KCTC 23617, CECT 7957, HME 7025",1,Aquirufa nivalisilvae,GCA_003143535,negative
13641,DN316,"DSM 26385, CICC 10378, HAMBI 3454, LMG 23925",1,Allorhizobium borbori,GCA_014196535,negative
134338,505,"LMG 24253, CGMCC 1.7048",1,Allorhizobium oryzae,GCA_900109605,negative
163970,CC-HIH110,"JCM 31228, BCRC 80932",1,Allorhizobium terrae,GCA_004801395,negative
138767,,"CIP 105883, LMG 11875, JCM 21822, ATCC 700741, IAM 15378, ORS 992",1,Allorhizobium undicola,GCA_000621665,negative
139548,K309,"CIP 105853, NCPPB 3554, ATCC 49767, ICMP 10752, HAMBI 1817, LMG 8750",1,Allorhizobium vitis,GCA_001541345,negative
23792,M8,"DSM 24762, CCM 7944",1,Alloscardovia macacae,GCA_002259705,positive
1767,,"DSM 21503, CCUG 31649, LMG 23792, CIP 109610",1,Alloscardovia omnicolens,GCA_000420505,positive
160006,"GLDI 4/2, GLDI4/2","DSM 106019, JCM 32430",1,Alloscardovia theropitheci,GCA_004332295,positive
24495,22DY03,"DSM 29329, CGMCC 1.12410, JCM 18866",1,Allosediminivita pacifica,GCA_003054175,negative
14296,YC7378,"DSM 21593, KCTC 22446",1,Allosphingosinicella vermicomposti,GCA_003012815,negative
133062,,"DSM 42178, CGMCC 4.7247, YIM DR4008",1,Allostreptomyces psammosilenae,GCA_013407765,positive
23231,DX5-10,"DSM 26894, CGMCC 1.3455, JCM 12573, CIP 109187, NCIMB 14310",1,Alloyangia pacifica,GCA_900100725,negative
7516,Cr8-25,"DSM 23737, LMG 26215, JCM 18951",1,Alpinimonas psychrophila,GCA_014137865,variable
159775,SH9,"JCM 32501, CCTCC AB 2017284",1,Alsobacter soli,GCA_003004785,negative
133228,100921-2,"CFCC 14287, KCTC 42844",1,Tsuneonella aeria,GCA_009827495,negative
166543,Ery1,"KCTC 62387, CGMCC 1.16499, MCCC 1A10037",1,Pelagerythrobacter aerophilus,GCA_003581645,negative
133618,KYW147,"KCTC 22735, JCM 16339, UCCCB31",1,Alteraurantiacibacter aestuarii,GCA_009827405,negative
166461,NS1,"CGMCC 1.13679, NBRC 113553",1,Tsuneonella amylolytica,GCA_003626915,negative
140729,JSSK-8,"KCTC 52763, NBRC 112764",1,Pontixanthobacter aquaemixtae,GCA_009827395,negative
166167,SSKS-13,"KACC 19863, KCTC 62900, NBRC 113545",1,Alteraurantiacibacter aquimixticola,GCA_004965515,negative
133169,KEM-4,"KCTC 52259, NBRC 112305",1,Pontixanthobacter confluentis,GCA_009827615,negative
140745,THG-S3,"KACC 19190, CGMCC 1.15959",1,Tsuneonella deserti,GCA_014644315,negative
140988,BR-75,"CECT 9129, LMG 29518, BR 75, UCCCB41",1,Altericroceibacterium endophyticum,GCA_009827595,negative
134236,JCS350T,"KCCM 42314, JCM 13815, CGMCC 1.7731",1,Altererythrobacter epoxidivorans,GCA_001281485,negative
159780,MS1-4,"MCCC 1K02683, NBRC 112977",1,Tsuneonella flava,GCA_002870965,negative
133814,KJ7,"KACC 16190, JCM 17802",1,Pontixanthobacter gangjinensis,GCA_009827545,negative
140987,CPA5,"CECT 9130, LMG 29519, UCCCB42",1,Alteriqipengyuania halimionae,GCA_009827575,negative
5397,MSSRF26,"DSM 18604, LMG 23789",1,Altericroceibacterium indicum,GCA_009828105,negative
166460,BPTF-M16,"KCTC 62421, KACC 19609, NBRC 113190",1,Altererythrobacter insulae,GCA_003444655,negative
134119,SW-109,"KCTC 12311, JCM 12599, CIP 108783, CGMCC 1.7690",1,Pontixanthobacter luteolus,GCA_009828095,negative
166532,GH1-16,"KCTC 52845, NBRC 113275",1,Parerythrobacter lutipelagi,GCA_005434975,negative
158561,C9-11,"MCCC 1K03311, JCM 32056",1,Tsuneonella mangrovi,GCA_002269345,negative
133493,H32,"CCTCC AB 208229, LMG 24629, MCCC 1A01070",1,Pelagerythrobacter marinus,GCA_009827515,negative
166512,,"KCTC 32463, KACC 17617, CECT 8417, HME 9302",1,Alteripontixanthobacter maritimus,GCA_003340475,negative
133617,KYW48,"KCTC 22736, JCM 16345",1,Paraurantiacibacter namhicola,GCA_001687545,negative
140815,WW3,"KCTC 42620, JCM 30975",1,Tsuneonella rigui,GCA_003958625,negative
133297,,"CAU 1172, KCTC 42453, NBRC 110917",1,Pontixanthobacter sediminis,GCA_009828115,negative
133807,,"KCTC 12303, JCM 17037, KMM 6042",1,Tsuneonella troitsensis,GCA_001441535,negative
133643,S3-63,"CCTCC AB 207166, CIP 110125",1,Altericroceibacterium xinjiangense,GCA_003958635,negative
140743,S36,"CGMCC 1.12804, NBRC 110413",1,Croceibacterium xixiisoli,GCA_009827305,negative
1573,P4B,"DSM 25260, CCM 7963, CECT 7998, IBRC-M 10614, KCTC 13821",1,Alteribacillus bidgolensis,GCA_002886255,positive
1317,X5B,"DSM 23995, IBRC 10446",1,Alteribacillus iranensis,GCA_900113025,positive
1572,HS136,"DSM 21632, CCM 7595, JCM 15720, LMG 25222",1,Alteribacillus persepolensis,GCA_900099605,positive
1254,K1-5,"DSM 18675, CCM 7447, NCAIM B002265, CIP 109837",1,Alteribacter aurantiacus,GCA_000429705,positive
164197,M30,"JCM 32118, CGMCC 1.16739, MCC 3010",1,Alteribacter natronophilus,GCA_006007885,negative
158381,FJAT-45347,"DSM 104632, CCTCC AB 2016257",1,Alteribacter populi,GCA_002352765,negative
449,R10SW13,"DSM 15446, KCTC 12195, KMM 3600, LMG 22532, CIP 108794",1,Alteromonas stellipolaris,GCA_001562195,negative
140995,JDTF-113,"KCTC 52655, NBRC 112708",1,Alteromonas aestuariivivens,GCA_003367475,negative
130151,"H 17, H17","DSM 27080, CIP 109921, KMM 6016",1,Alteromonas australica,GCA_000730385,negative
450,,"DSM 23844, CCUG 55340, LMG 24078",1,Alteromonas genovensis,GCA_010500895,negative
134153,F-32,"CECT 7067, LMG 22958, CIP 109083",1,Alteromonas hispanica,GCA_010500915,negative
159815,IO390401,"JCM 32638, CGMCC 1.13554, CCTCC AB 2018072, CGMCC AB 2018072",1,Alteromonas alterisediminis,GCA_003056425,negative
133345,JW12,"CGMCC 1.15735, KCTC 52408, MCCC 1K03175",1,Alteromonas lipolytica,GCA_001758465,negative
444,107,"DSM 6062, ATCC 27126, CCUG 16128, CIP 103198, JCM 20772, LMG 2843, NBRC 102226, IAM 12920, NCIMB 1963",1,Alteromonas macleodii,GCA_000172635,negative
445,"Adriatic-2, DE, Deep Ecotype","DSM 17117, CIP 110805, LMG 28347",1,Alteromonas mediterranea,GCA_000020585,negative
158616,S35,"KCTC 52449, CGMCC 1.16029",1,Alteromonas oceani,GCA_003731635,negative
140746,5.12,"LMG 29661, MCC 3250",1,Alteromonas pelagimontana,GCA_002499975,negative
166518,U0105,"KCTC 62080, MCCC 1H00299",1,Alteromonas sediminis,GCA_003820355,negative
23153,IGB-41,"DSM 23761, CIP 110167, CIP 110334",1,Amantichitinum ursilacus,GCA_001294205,negative
139986,Ben-104,"DSM 101730, ACM 5096, CIP 107262, BEN 104",1,Amaricoccus macauensis,GCA_014201905,negative
17782,ILE-2,"DSM 16581, JCM 14039",1,Aminiphilus circumscriptus,GCA_000526375,negative
158376,FH042,"DSM 103574, JCM 31555",1,Aminipila butyrica,GCA_010669305,positive
24744,4F6E,"DSM 25964, JCM 18417",1,Aminivibrio pyruvatiphilus,GCA_004366815,negative
11857,"TK3001, TK 3001","DSM 7048, ATCC 23314, JCM 7852, NCIB 9039, CCUG 2081, NCTC 2871, LMG 2122, CIP 106737, NCTC 10684, BCRC 15819, CCM 4329, CFBP 6720, IAM 15264, NCCB 26039, NCIMB 9039, VKM B-2058",1,Aminobacter aminovorans,GCA_004341645,negative
11858,,"DSM 10368, ATCC 29600, NCIMB 13986, CIP 107712",0,Aminobacter aminovorans,GCA_014195595,negative
13540,Z-1171,"DSM 1086, ATCC 51424, CIP 105722",1,Aminobacter carboxidus,GCA_014863355,negative
11861,IMB-1,"DSM 17455, ATCC 202197, CCUG 50580, CIP 108660, JCM 21751, DSM 15910, IAM 15301",1,Aminobacter ciceronei,GCA_014138625,negative
11862,CC 495,"DSM 17454, CCUG 50579, CIP 108661, NCIMB 13798",1,Aminobacter carboxidus,GCA_014207495,negative
16790,SR,"DSM 19636, VKM B-2461",1,Ammonifex thiophilus,GCA_003368535,positive
11378,RAOx-1,"DSM 11538, ATCC 700649, HAMBI 2283, CIP 105538",1,Ammoniphilus oxalaticus,GCA_003609605,positive
132587,CC-RT-E,"DSM 24738, BCRC 80314",1,Ammoniphilus resinae,GCA_017873965,variable
166423,M8JJ-5,"KCTC 49089, CGMCC 1.16390",1,Amnibacterium flavum,GCA_003097495,positive
7508,KSL51201-037,"DSM 24782, JCM 16463, KEMC 51201-037, KACC 15557, NBRC 109360",0,Amnibacterium kyonggiense,GCA_004364555,positive
17873,"R5 Sph 026, RS.Sph.026","DSM 19760, LMG 24307",1,Amorphus coralli,GCA_000374525,negative
1408,JW/BP-GSL-QD,"DSM 23721, ATCC BAA-2118, NBRC 11149",1,Amphibacillus cookii,GCA_016908375,variable
1407,Y1,"DSM 24783, CGMCC 1.5123, JCM 16149",1,Amphibacillus jilinensis,GCA_000306965,positive
23742,J1,"DSM 27991, CGMCC 1.10434, JCM 17099",1,Amphibacillus marinus,GCA_900110345,positive
1406,Shu-P-Ggiii25-2,"DSM 21624, IAM 15428, JCM 23213, KCTC 13120, MBIC 08269, NBRC 103570",1,Amphibacillus sediminis,GCA_001552275,positive
1403,Ep01,"DSM 6626, ATCC 51415, IFO 15112, JCM 7361, NBRC 15112, LMG 17667",1,Amphibacillus xylanus,GCA_000307165,positive
11296,M41,"DSM 18887, LMG 24143, JCM 14776",1,Amphritea atlantica,GCA_024347255,negative
134369,,"JCM 14781, ATCC BAA-1529, JAMM 1525",1,Amphritea balenae,GCA_003858655,negative
134368,,"JCM 14782, ATCC BAA-1530, JAMM 1866",1,Amphritea japonica,GCA_000381785,negative
166509,ANRC-JH13,"MCCC 1K03512, KCTC 62532",1,Amphritea opalescens,GCA_003957515,negative
133131,WP1,"KCTC 39642, MCCC 1A10745",1,Amycolatopsis albispora,GCA_003312875,positive
167397,SYSUP0005,"KCTC 49024, CGMCC 4.7463",1,Amycolatopsis alkalitolerans,GCA_006152065,positive
159864,AU-G6,"CGMCC 4.7351, NBRC 112404",1,Amycolatopsis antarctica,GCA_002262875,positive
13516,RA45,"DSM 45648, CGMCC 4.5579, JCM 16584",1,Amycolatopsis arida,GCA_004365925,positive
13248,GY048,"DSM 44671, CIP 109398, NBRC 106146, NCIMB 14142, JCM 15587",1,Amycolatopsis australiensis,GCA_900119165,positive
13241,FH 1894,"DSM 44591, JCM 12668, NRRL B-24207, CIP 108516",1,Amycolatopsis balhimycina,GCA_000384295,positive
24444,BNT52,"DSM 45679, JCM 31029, KCTC 29065, NRRL B-24886",1,Amycolatopsis cihanbeyliensis,GCA_006715045,positive
13252,"FH 1845, NNRL B-24209","DSM 44594, JCM 12669, NRRL B-24209, CIP 108517, NCIMB 14255",1,Amycolatopsis decaplanina,GCA_000342005,positive
166244,GLM-1,"TBRC 9315, NBRC 113658",1,Amycolatopsis eburnea,GCA_003937945,positive
13265,LC2,"DSM 45164, CCTCC AB 206019, CIP 109736, IAM 15387, JCM 21831",1,Amycolatopsis echigonensis,GCA_014174495,positive
132133,,"DSM 104006, CCTCC AA 2010003, JCM 31481, KCTC 19776, KLBMP 1221",1,Amycolatopsis endophytica,GCA_013410405,positive
13232,NT202,"DSM 44348, NCIMB 13795, JCM 18060, BCRC 16370, CIP 107587, JCM 12071, NBRC 100338, NBRC 104161",1,Amycolatopsis thermoflava,GCA_003752125,negative
133703,GY307,"NCIMB 14709, NRRL B-24844, DSM 45669",1,Amycolatopsis granulosa,GCA_011758745,positive
13231,MG 417-CF 17,"DSM 44213, JCM 10140, CIP 106801, KCTC 9817, NRRL B-24138",1,Amycolatopsis japonica,GCA_000732925,positive
13262,N7-3,"DSM 45042, JCM 13280, NRRL B-24427, CIP 109183, NCIMB 14306",1,Amycolatopsis jejuensis,GCA_000717335,positive
23214,,"DSM 45859, KCTC 19885, KLBMP 1262, NBRC 108679",1,Amycolatopsis jiangsuensis,GCA_014204865,positive
13245,,"DSM 44652, JCM 12670, LDDC 9447-99, NRRL B-24129, CIP 108186",1,Amycolatopsis kentuckyensis,GCA_002155975,positive
13242,D2,"DSM 44409, CIP 107963, NRRL B-24117, JCM 12683, BCRC 16375, NCIMB 14256",1,Amycolatopsis keratiniphila subsp. keratiniphila,GCA_001620365,positive
13246,,"DSM 44653, JCM 12672, LDDC 12275-99, NRRL B-24131, CIP 108185",1,Amycolatopsis lexingtonensis,GCA_002156005,positive
13227,KT2025,"DSM 45510, JCM 31204, KCTC 29056",1,Amycolatopsis magusensis,GCA_017875555,positive
13267,Ms392A,"DSM 45569, CGMCC 4.3568, NBRC 104263, JCM 16121",1,Amycolatopsis marina,GCA_900111885,positive
13220,"Lepetit ME/83, Lepetit ME83/973, Schering 368","DSM 43304, ATCC 13685, CBS 121.63, CBS 716.72, DSM 40501, IFO 13142, IFO 13415, IMET 7651, ISP 5501, JCM 4789, KCC S-0789, LBG A 3136, NBRC 13142, NBRC 13415, NCIB 9613, NRRL B-3240, PSA 71, RIA 1376, VKM Ac-798, CIP 107074, CCUG 43144, ETH 28579, BCRC 12440, CGMCC 4.1213, IMSNU 20056, KCCM 11859, KCTC 1739, MTCC 14, NBIMCC 3395, NCIMB 9613, PCM 2320",1,Amycolatopsis mediterranei,GCA_000220945,positive
13259,CSC17Ta-90,"DSM 44992, CIP 109581, NRRL B-24473, HKI 0330, CSC 17TA-090, JCM 14717",1,Amycolatopsis nigrescens,GCA_000384315,positive
13266,LC11,"DSM 45165, CCTCC AB 206020, CIP 109735, IAM 15388, JCM 21832",1,Amycolatopsis niigatensis,GCA_002846615,positive
13215,"M 43-05865, Pittinger M43-05865, CCTMLa 2924","DSM 40040, ATCC 19795, CBS 547.68, CCM 2778, IAM 14281, IFO 12360, IFO 12806, IMET 7510, IMET 7653, IMSNU 20058, ISP 5040, JCM 4235, JCM 4600, KCC S-0235, KCC S-0600, NBRC 12360, NBRC 12806, NIHJ 483, NRRL 2450, RIA 1074, BCRC 11615, CGMCC 4.1214, CIP 107113, HUT 6592, IFM 0528, KCCM 40595, KCTC 9412, NBIMCC 2297, NCIMB 12945, VKM Ac-866",1,Amycolatopsis orientalis,GCA_000478275,positive
13254,1BDZ,"DSM 44832, AS 4.1729, PCM 2600, JCM 12460, CGMCC 4.1729, CIP 108399",1,Amycolatopsis palatopharyngis,GCA_003385185,negative
159669,,"DSM 105902, CCTCC AA 2017044, KCTC 49031, YIM PH21725, JCM 33574",1,Amycolatopsis panacis,GCA_003600245,positive
166702,RM579,"NBRC 106096, TBRC 1849, RM 579",1,Amycolatopsis pithecellobii,GCA_009707865,positive
13247,ARC-OV1 0181,"DSM 44654, ARC OV1 0181, JCM 12673, NRRL B-24133, CIP 108184",1,Amycolatopsis pretoriensis,GCA_002156025,positive
13264,GY080,"DSM 45072, NCIMB 14277, JCM 15588",1,Amycolatopsis regifaucium,GCA_001558125,positive
158797,DH51B-4-3,"TBRC 6029, NBRC 112509, JCM 32589",1,Amycolatopsis rhizosphaerae,GCA_007713715,positive
13243,13.4,"DSM 44637, AS 4.1541, CIP 107102, JCM 10871, NRRL B-24150, ATCC BAA-726, CGMCC 4.1541, KCTC 19909, NBRC 100041",1,Amycolatopsis rubida,GCA_900115345,positive
13260,2406-001,"DSM 44993, JCM 14909, NRRL B-24474, HKI 0457",1,Amycolatopsis saalfeldensis,GCA_900110575,positive
13235,"A1714, K24, K24T","DSM 44468, JCM 11272, CIP 107029, KCTC 9863, NBRC 100339, NCIMB 13786",1,Amycolatopsis sacchari,GCA_900114035,positive
166143,8-3EHSu,"TBRC 8488, NBRC 113449",1,Amycolatopsis suaedae,GCA_004214935,positive
13263,0345M-7,"DSM 45107, BCRC 16802, KCTC 19116, JCM 14925, NBRC 102103, NCIMB 14409, BCRC 0345.7",1,Amycolatopsis taiwanensis,GCA_000519205,positive
13239,"N-1165, T526","DSM 44574, CIP 106795, IFO 14333, JCM 10669, KCTC 9833, NBRC 14333, IMSNU 21194, NRRL B-24140, BCRC 16371, IFO (now NBRC) 14333",1,Amycolatopsis thermoflava,GCA_000473265,positive
13238,"B-2847, FH6113","DSM 44544, ATCC 21177, CIP 108212, IFO 14664, NBRC 14664, NRRL B-24205, JCM 4936, CBS 242.71, CGMCC 4.5590, IFO 12554, IMSNU 20061, NBRC 12554",1,Amycolatopsis tolypomycina,GCA_900105945,positive
13269,ABO,"DSM 45259, BCCM 24814, LMG 24814, JCM 17017",1,Amycolatopsis tucumanensis,GCA_021654135,positive
13277,GY 115,"DSM 45668, NCIMB 14700, NRRL B-24837",0,Amycolatopsis viridis,GCA_011758765,positive
13271,,"DSM 45285, CCM 7627, KCTC 19581, CPCC 202699, JCM 32380",1,Amycolatopsis xylanica,GCA_900107045,positive
140730,H-12,"KCTC 52581, CGMCC 1.15880, DSM 108668",1,Amylibacter cionae,GCA_014643735,negative
159735,4G11,"KY 463497, KCTC 52506, NBRC 112428",1,Amylibacter kogurei,GCA_002742285,negative
159853,m18,"KACC 19229, JCM 32051",1,Amylibacter lutimaris,GCA_002860325,negative
6411,B-4437,"CCUG 30137, NCIMB 11546, JCM 1125, DSM 20533, ATCC 49845, LMG 6900, NRRL B-4437, VKM B-2234, BCRC 14055, CCM 7001, CECT 4133, CGMCC 1.3394, CIP 102988, IFO 15881, KCTC 3161, NBRC 15881, NCAIM B.01457, NCFB 2503, NRRL B-4476, VTT E-95574, NCDO 2503",1,Amylolactobacillus amylophilus,GCA_001311665,positive
6666,,"DSM 20534, LMG 11400, NRRL B-4436, JCM 1124, BCRC 17923, CIP 109878, KCTC 3160",1,Amylolactobacillus amylotrophicus,GCA_001434555,positive
17114,"B4B0, B<SUB>4</SUB>B<SUB>0</SUB>, B4Bo","DSM 6283, ATCC 51455, CIP 105409",1,Anaeroarcus burkinensis,GCA_000430605,negative
1559,MS 6,"DSM 22531, NCCB 100213, UNIQEM U377",1,Anaerobacillus alkalidiazotrophicus,GCA_001866055,positive
158471,B16-10,"DSM 29790, NCAIM B.02608",1,Anaerobacillus alkaliphilus,GCA_004116265,positive
1558,E1H,"DSM 15340, ATCC 700614, KCTC 5192",1,Anaerobacillus arseniciselenatis,GCA_001865995,positive
131449,GluBS11,"DSM 29698, KCTC 15450, LMG 28619",1,Anaerobium acetethylicum,GCA_900096945,positive
17964,PAOHA-1,"DSM 14826, UNIQEM 227",1,Anaerobranca californiensis,GCA_900142275,negative
17970,,"DSM 7454, ATCC 49630, JCM 7635, GIFU 7662, CIP 107325",1,Anaerococcus hydrogenalis,GCA_000173355,positive
17975,Davey 1(Hare group VIII),"DSM 11663, KCTC 5964, NCTC 9810",1,Anaerococcus octavius,GCA_900445265,positive
17967,"PC 1, 10107","DSM 20548, ATCC 9321, JCM 6508, CCUG 41932, CIP 105881, NCTC 11806",1,Anaerococcus prevotii,GCA_000024105,positive
17969,,"DSM 2951, ATCC 35098, CCM 3634, JCM 1964, GIFU 7672, CCUG 17637, CIP 103927, LMG 14264",1,Anaerococcus tetradius,GCA_000159095,positive
17972,,"CCUG 31349, CIP 103621, KCTC 15028, DSM 7457, ATCC 51170, JCM 8138, GIFU 12669, GIFU 7732",1,Anaerococcus vaginalis,GCA_000163295,positive
132584,,"DSM 100423, JCM 30819, SN 021",1,Anaerocolumna cellulosilytica,GCA_014202875,positive
2829,HY-35-12,"DSM 15929, IMSNU 40003, KCTC 5026",1,Anaerocolumna jejuensis,GCA_900142215,positive
5413,,"DSM 17244, ATCC BAA-858, CCUG 47767, CIP 108481, WAL 14563, KCTC 15239",1,Anaerofustis stercorihominis,GCA_000154825,negative
159440,ST-NAGAB-D1,"DSM 103484, JCM 31926, KCTC 15600",1,Anaerohalosphaera lusitana,GCA_002007645,negative
502,IMO-1,"DSM 16554, JCM 12577",1,Anaerolinea thermolimosa,GCA_001050195,negative
501,UNI-1,"DSM 14523, JCM 11388",1,Anaerolinea thermophila,GCA_000199675,negative
140570,DY2726D,"JCM 30224, MCCC 1A00776",1,Anaeromicrobium sediminis,GCA_002270055,variable
166118,MJB2,"KCTC 15800, MCCC 1K03631",1,Anaerophilus nitritogenes,GCA_004138215,positive
166544,MCWD5,"KCTC 15595, DSM 105757",1,Anaerosacchariphilus polymeriproducens,GCA_003363435,negative
132208,IRF19,"DSM 103526, JCM 19988, KCTC 15396",1,Anaerosolibacter carboniphilus,GCA_014205875,negative
11852,WN036,"DSM 21120, JCM 15094, KCTC 15145",1,Anaerosphaera aminiphila,GCA_900129925,positive
2868,HY-37-4,"DSM 15930, IMSNU 40011, KCTC 5027",1,Anaerosporobacter mobilis,GCA_900142955,positive
132639,"FRC-RU4, RU4","DSM 29728, ATCC BAA-2723",1,Anaerosporomusa subterranea,GCA_001611555,negative
6340,35-7,"DSM 22094, JCM 17466, LMG 24724",1,Anaerostipes butyraticus,GCA_016586355,positive
6339,L1-92,"DSM 14662, CIP 108612, NCIMB 13811, CCUG 47493, JCM 13470, KCTC 15019, AIP 10223",1,Anaerostipes caccae,GCA_000154305,positive
5427,VP 82-52,"DSM 3319, ATCC 29173, KCTC 15606, VPI 82-52, JCM 9980, KCTC 15009",1,Anaerostipes hadrus,GCA_000332875,positive
158907,KGMB03357,"DSM 107953, KCTC 15736",1,Anaerotignum faecicola,GCA_003865035,positive
2806,G17,"DSM 14214, LMG 20954",1,Anaerotignum lactatifermentans,GCA_900142265,positive
2646,X2,"DSM 1682, ATCC 25522, NCIMB 10656, CCUG 9280, JCM 1430, VPI 5303",1,Anaerotignum propionicum,GCA_001561955,positive
17679,277,"DSM 17241, CCUG 45055, CIP 107754, WAL 14565, JCM 15631, VTT E-062942",1,Anaerotruncus colihominis,GCA_000154565,positive
17117,"5S, 7553","DSM 3074, ATCC 33276, CIP 105407, VPI 7553",1,Anaerovibrio lipolyticus,GCA_000803025,negative
17407,NS05,"DSM 18746, CCM 7435, CCUG 57200, NEU 1212",1,Ancylobacter oerskovii,GCA_018390555,negative
158256,E130,"DSM 102029, LMG 29367",1,Ancylobacter pratisalsi,GCA_010669125,negative
17402,YCM 11671,"DSM 17131, AS 1.1761, JCM 11671, BCRC 17434, CGMCC 1.1761, CIP 108316, NCIMB 14355",1,Ancylobacter rudongensis,GCA_900100155,negative
164306,M1P,"JCM 32614, KCTC 15718",1,Ancylomarina euxinus,GCA_003863355,negative
166210,SHSM-M15,"KACC 19862, NBRC 113749",1,Ancylomarina salipaludis,GCA_004122035,negative
133003,FA102,"DSM 28825, CICC 10902, KCTC 42257",1,Ancylomarina subtilis,GCA_004217115,negative
