ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Kind of temperature,Temperature
166288,,"DSM 103992, KCTC 52558, SYSU SYW-6",1,Cysteiniphilum halobium,GCA_003574425,optimum,35
140321,,"DSM 101832, CGMCC 1.15758, KCTC 52386, NBRC 112441, SYSU D3-2",1,Cysteiniphilum litorale,GCA_003428165,optimum,30.00
158260,5L6,"DSM 104513, CICC 23855, KCTC 33663",1,Cytobacillus solani,GCA_006704205,optimum,30
1297,1P01SC,"DSM 23495, MTCC 9535, NRRL B-59162, CIP 110062",1,Cytobacillus horneckiae,GCA_002835735,optimum,30
1303,H2,"DSM 24771, CGMCC 1.10115, JCM 16506, BCRC 80336, CIP 110262",1,Cytobacillus oceanisediminis,GCA_007830235,optimum,37
140355,FJAT-25547,"DSM 101002, CCTCC AB 2015208",1,Cytobacillus praedii,GCA_001439605,optimum,30
24209,MW4-36,"DSM 46705, BCC 34901, NBRC 106093, JCM 15934",1,Dactylosporangium siamense,GCA_016862795,optimum,29
14114,N7,"DSM 19973, KACC 12821",1,Daejeonella oryzae,GCA_000422945,optimum,27.50
10516,Nsw-4,"DSM 24713, BCRC 17934, LMG 24817",1,Deefgea chitinilytica,GCA_016881405,optimum,27.5
10515,,"DSM 18356, WB 3.4-79, CIP 109326",1,Deefgea rivuli,GCA_000620145,optimum,25.5
3845,SL50,"DSM 21529, VKPM B-10097",1,Deferribacter autotrophicus,GCA_008362905,optimum,60
3841,SSM1,"DSM 14783, JCM 11476, NBRC 101012",1,Deferribacter desulfuricans,GCA_000010985,optimum,62.50
18151,S3R1,"DSM 24185, VKM B-2672",1,Deferrisoma camini,GCA_000526155,optimum,50
140265,A6,"DSM 28090, ACCC 19951",1,Defluviitalea raffinosedens,GCA_016908775,optimum,50
133751,195,"ATCC BAA-2266, KCTC 15142",1,Dehalococcoides mccartyi,GCA_000011905,optimum,27.5
133898,IP3-3,"JCM 17062, NRRL B-59545",1,Dehalogenimonas alkenigignens,GCA_001466665,optimum,32
140462,NSZ-14,"HAMBI 3672, JCM 19277, VKM B-3058",1,Dehalogenimonas formicexedens,GCA_001953175,optimum,32.00
133531,BL-DC-9,"ATCC BAA-1523, JCM 15061",1,Dehalogenimonas lykanthroporepellens,GCA_000143165,optimum,31
3901,"K-bf-PMWA-4.1, K4.1","DSM 21458, HAMBI 2721",1,Deinobacterium chartae,GCA_014202645,optimum,41.00
141115,BM2,"KEMB 5401-184, JCM 30700",1,Deinococcus actinosclerus,GCA_001507665,optimum,25
3894,TR0125,"DSM 21212, CIP 110035, JCM 11750",1,Deinococcus aerius,GCA_002897375,optimum,27.5
3897,5516T-9,"DSM 24781, JCM 15442, KACC 12745, CIP 110188",1,Deinococcus aerolatus,GCA_014647055,optimum,30
3898,5516T-11,"DSM 24869, JCM 15443, KACC 12746, CIP 110189",1,Deinococcus aerophilus,GCA_014647075,optimum,30
134316,ME-04-04-52,"LMG 24283, NRRL B-41948",1,Deinococcus alpinitundrae,GCA_009982895,optimum,10
3891,MIFE 35041/06,"DSM 23025, CCM 7524, CCUG 53370",1,Deinococcus aquatilis,GCA_000378445,optimum,30
166257,OD32,"KCTC 33972, CICC 24671",1,Deinococcus arcticus,GCA_003028415,optimum,33
133034,FeSTC15-38,"DSM 101791, NCAIM B.02630",1,Deinococcus budaensis,GCA_014201885,optimum,28
3888,5516J-15,"DSM 18568, CIP 109796, KACC 11606",1,Deinococcus cellulosilyticus,GCA_007990775,optimum,30
3900,"MJ27, B-17D","DSM 26465, JCM 16918, KCTC 13751",1,Deinococcus daejeonensis,GCA_014647175,optimum,30
3863,VCD115,"DSM 17065, CIP 109153, LMG 22923",1,Deinococcus deserti,GCA_000020685,optimum,30
166403,H1,"CGMCC 1.13938, JCM 33291",1,Deinococcus detaillensis,GCA_007280555,optimum,15
3885,CC-FR2-10,"DSM 19119, CCUG 51391, CIP 108832, CCUG 53391",1,Deinococcus ficus,GCA_000430865,optimum,37
158506,FeSDHB5-19,"DSM 106917, NCAIM B.02639",1,Deinococcus fonticola,GCA_004634215,optimum,28
3855,AG-3a,"DSM 11300, CIP 105573",1,Deinococcus geothermalis,GCA_000196275,optimum,47
3893,I-0,"DSM 21396, CGMCC 1.7299, JCM 16679",1,Deinococcus gobiensis,GCA_000252445,optimum,30
23889,MK03,"DSM 27939, JCM 17915, KCTC 13619",1,Deinococcus humi,GCA_014201875,optimum,30
159760,17bor-2,"KCTC 33907, NBRC 113037",1,Deinococcus irradiatisoli,GCA_003173015,optimum,29.00
159872,SJW1-2,"KACC 19332, NBRC 112908",1,Deinococcus koreensis,GCA_002901445,optimum,25
166303,"HUT-8138, KR-1",KCTC 33977,1,Deinococcus kurensis,GCA_009687825,optimum,30
3869,AA-63,"DSM 12784, CIP 109039, NRRL B-41042",1,Deinococcus marmoris,GCA_000701405,optimum,12.50
3858,ALT-1b,"DSM 11303, CCUG 50777, CIP 105574",1,Deinococcus murrayi,GCA_000482805,optimum,47
3887,KR-200,"DSM 19664, CIP 109416, LMG 22246, CCUG 58334",1,Deinococcus peraridilitoris,GCA_000317835,optimum,30
159403,S14-83,"DSM 105285, CCTCC AB 2015449",1,Deinococcus psychrotolerans,GCA_003860465,optimum,20
3899,TM-1,"DSM 25938, CGMCC 1.10218, NBRC 106334",1,Deinococcus reticulitermitis,GCA_900109185,optimum,30
3890,TDMA-uv51,"DSM 22367, CCUG 53611, JCM 14370, NBRC 102117",1,Deinococcus roseus,GCA_014646895,optimum,37
133314,JSH3-1,"KCTC 33790, JCM 31311",1,Deinococcus ruber,GCA_014648095,optimum,25
23888,R13,"DSM 28106, CGMCC 1.8885, NBRC 105666, CIP 110211",0,Deinococcus wulumuqiensis,GCA_000478785,optimum,30
2954,332,"DSM 21246, LMG 24775",1,Delftia lacustris,GCA_900107225,optimum,25.0
2952,T7,"DSM 17581, ATCC BAA-554, NBRC 16741",1,Delftia tsuruhatensis,GCA_001571325,optimum,35.0
17840,HR08-7,"DSM 24865, NBRC 105854",1,Demequina flava,GCA_000975035,optimum,28
17838,"RODXS3, SV 45","DSM 19970, LMG 24795, NBRC 106155, JCM 17019",1,Demequina lutea,GCA_000975075,optimum,18
17842,HI08-69,"DSM 24868, NBRC 105856",1,Demequina mangrovi,GCA_000759715,optimum,28
17841,HR08-43,"DSM 24867, NBRC 105855",0,Demequina sediminicola,GCA_000975055,optimum,28
166499,K23C18032701,"GDMCC 1.1403, KCTC 62913",1,Deminuibacter soli,GCA_003412455,optimum,29.00
13931,"AcBE2-1, AcBE2I","DSM 16959, JCM 12830",1,Denitratisoma oestradiolicum,GCA_007844305,optimum,29.00
3918,"S69, S-69","DSM 7083, ATCC 49369, NCFB 2769, CCUG 32998, JCM 7448, CCM 4122, CECT 4165, CIP 105144, IFM 10528, IMSNU 21318, NBRC 106157, NCIMB 13131",1,Dermabacter hominis,GCA_001570785,optimum,28
132483,AD1-86,"DSM 100050, KCTC 39585",1,Dermabacter vaginalis,GCA_001678905,optimum,37
3924,MT1.1,"DSM 17573, CIP 109302, NCIMB 14084, JCM 14339",1,Dermacoccus abyssi,GCA_003515945,optimum,28
3922,"59, 8094","DSM 20448, ATCC 29093, CCM 2140, CCUG 33028, JCM 11613, CECT 544, CIP 81.71, IAM 13592, IFO 15356, IMSNU 21319, LMG 14222, NBRC 15356, NCDO 2358, NCIMB 702358, NCTC 11039, VKM Ac-2160, VKM B-1818",1,Dermacoccus nishinomiyaensis,GCA_900447535,optimum,28
3940,"A-4, V.1328/1","DSM 44180, ATCC 14637, CCUG 47448, JCM 8106, NRRL B-2350, NCTC 13039, NBRC 105199",1,Dermatophilus congolensis,GCA_000429885,optimum,37
133843,HL-12,"BCRC 80208, KCTC 23311",1,Derxia lacustris,GCA_002105195,optimum,30
158572,KJ1-10-99,"LMG 29918, KCTC 33878",1,Desertibacillus haloalkaliphilus,GCA_019039105,optimum,37
160770,,"DSM 105431, KCTC 39977, CPCC 204711",1,Desertihabitans aurantiacus,GCA_003344635,optimum,28
168917,16Sb5-5,"KCTC 49116, CGMCC 1.16553",1,Desertihabitans brevis,GCA_003327535,optimum,37
16786,,"DSM 45169, CCUG 55916, IMMIB L-1269",1,Desmospora activa,GCA_003046315,optimum,40
3946,CV2803,"DSM 15576, ATCC BAA-743",1,Desulfatibacillum aliphaticivorans,GCA_000429905,optimum,31.50
3947,PF2803,"DSM 16219, ATCC BAA-924",1,Desulfatibacillum alkenivorans,GCA_900142135,optimum,29
3996,HB1,"DSM 18734, JCM 14470",1,Desulfatirhabdium butyrativorans,GCA_000429925,optimum,29
22990,S28bF,"DSM 23472, NBRC 107166",1,Desulfatitalea tepidiphila,GCA_001293685,optimum,38
11765,DCB-2,DSM 10664,1,Desulfitobacterium hafniense,GCA_000021925,optimum,37
3963,B54,DSM 8776,1,Desulfobacter vibrioformis,GCA_000745975,optimum,33
4178,P1,"DSM 24233, CGMCC 1.5166",1,Desulfobaculum xiamenense,GCA_011927665,optimum,37.5
130283,APS1,"DSM 24258, UNIQEM U900",1,Desulfobulbus alkaliphilus,GCA_016918545,optimum,33
133072,Prop6,"DSM 103420, JCM 31535",1,Desulfobulbus oligotrophicus,GCA_016446285,optimum,35
140353,NAW-5,"DSM 102911, NBRC 112242",1,Desulfocucumis palustris,GCA_002933875,optimum,34.50
4069,VNs36,"DSM 17965, JCM 14038, AS As36, AS 36",1,Desulfocurvus vexinensis,GCA_000519125,optimum,37
4015,Pro1,"DSM 18378, JCM 14043",1,Desulfogranum japonicum,GCA_000429945,optimum,35
4043,"HR100, HR<SUB>100</SUB>","DSM 5692, JCM 16813, ATCC 49708",1,Desulfohalobium retbaense,GCA_000024325,optimum,38.50
4159,RT2,"DSM 16529, JCM 12612",1,Desulfohalovibrio alkalitolerans,GCA_000422245,optimum,43
24301,SR45,"DSM 26801, NBRC 109411",1,Desulfolucanica intricata,GCA_001592105,optimum,43.5
3997,AA1,"DSM 17682, ATCC BAA-1256",1,Desulfoluna spongiiphila,GCA_900101345,optimum,28
160637,"J.5.4.2-L.4.2.8, J.5.4.2-L4.2.8","DSM 107105, NBRC 113990",1,Desulfolutivibrio sulfoxidireducens,GCA_013376475,optimum,37
4034,Z-7935,DSM 9292,1,Desulfonatronovibrio hydrogenovorans,GCA_000686525,optimum,37
4031,,"DSM 18488, JCM 14042, MSL 86",1,Desulfopila aestuarii,GCA_900143695,optimum,35
4032,JS_SRB250Lac,"DSM 19738, NBRC 103921",1,Desulfopila inferna,GCA_016919005,optimum,28
132676,Bs105,"DSM 24088, JCM 31386",1,Desulforamulus aquiferis,GCA_004143605,optimum,42
11832,,"DSM 18033, JCM 13992, LAM Lam5, LAM 5",1,Desulforamulus hydrothermalis,GCA_000315365,optimum,55
132677,Bs107,"DSM 24093, JCM 31387",1,Desulforamulus profundi,GCA_002607855,optimum,45
132391,MI-1,"DSM 100696, ATCC BAA-1160",1,Desulforamulus reducens,GCA_000016165,optimum,37
4001,PropA,"DSM 17721, VKM B-2385",1,Desulfosalsimonas propionicica,GCA_013761005,optimum,40
140361,PL12,"DSM 103901, JCM 31728",1,Desulfosarcina alkanivorans,GCA_009688945,optimum,32.00
159613,28bB2T,"DSM 23484, NBRC 106234",0,Desulfosarcina ovata subsp. sediminis,GCA_009688985,optimum,30.00
140360,PP31,"DSM 103921, JCM 31729",1,Desulfosarcina widdelii,GCA_009688965,optimum,28
16679,USBA-053,"DSM 22027, KCTC 5670, USBA 53",1,Desulfosoma caldarium,GCA_003751385,optimum,57
140297,63.6F,"DSM 101609, JCM 31106",1,Desulfosporosinus fructosivorans,GCA_004766045,optimum,20
11780,343,"DSM 8344, VKM B-2003",1,Desulfosporosinus hippei,GCA_900100785,optimum,28
4030,LSv54,DSM 12343,1,Desulfotalea psychrophila,GCA_000025945,optimum,10
4041,TFISO9,"DSM 17375, JCM 13304",1,Desulfothermus okinawensis,GCA_001311565,optimum,50
140524,GSS09,"KCTC 15523, MCCC 1K01254",1,Desulforamulus ferrireducens,GCA_002005145,optimum,50
11828,CO-1-SRB,"DSM 14880, VKM B-2319",0,Desulfotomaculum nigrificans,GCA_000214435,optimum,55
11831,RE35E1,"DSM 16058, JCM 14019",1,Desulfotruncus alcoholivorax,GCA_000430885,optimum,45
11829,15,"DSM 17038, JCM 12923",1,Desulfotruncus arcticus,GCA_900113335,optimum,44
16849,RL80JIV,"DSM 16036, JCM 13928",1,Desulfovirgula thermocuniculi,GCA_000429345,optimum,70.50
132457,TR1,"DSM 29984, JCM 30680",1,Desulfurella amilsii,GCA_002119425,optimum,50
133400,MLFW-2,"DSM 28709, JCM 30866, ATCC PTA-120556",1,Desulfuribacillus stibiiarsenatis,GCA_001742305,optimum,34
2497,S5,"DSM 22839, ATCC BAA-1389",1,Desulfurispirillum indicum,GCA_000177635,optimum,28.0
11840,RA50E1,"DSM 16022, JCM 14018",1,Desulfurispora thermophila,GCA_000376385,optimum,60
140298,K6013,"DSM 101677, MCCC 1A01868",1,Desulfurobacterium indicum,GCA_001968985,optimum,65
4199,Z-1312,"DSM 16532, JCM 13383, VKM V-2316",0,Desulfurococcus amylolyticus,GCA_000231015,optimum,82
4200,1221n,"DSM 18924, JCM 16383, VKM B-2413",0,Desulfurococcus amylolyticus,GCA_000020905,optimum,85
4198,O7/1,"DSM 2162, ATCC 35584, JCM 9187",1,Desulfurococcus mucosus,GCA_000186365,optimum,85
132452,SPR,"DSM 100305, JCM 30857",1,Dethiosulfatarculus sandiegensis,GCA_000931935,optimum,33.50
17983,C/G2,"DSM 17477, JCM 13356, NBRC 101112",1,Dethiosulfatibacter aminovorans,GCA_900142005,optimum,29
133408,S37,"TBRC 5145, LMG 29420",1,Devosia elaeis,GCA_001650025,optimum,37
6169,BD-c194,"DSM 19414, KCTC 22082",1,Devosia geojensis,GCA_000969415,optimum,32.5
164309,IO390501,"JCM 32636, CCTCC AB 2018070, CGMCC 1.13555",1,Devosia indica,GCA_003056405,optimum,25.00
6167,DS-56,"DSM 17955, KCTC 12821",1,Devosia insulae,GCA_000970465,optimum,25
6165,,"DSM 17137, CIP 109005, LMG 22951",1,Devosia limi,GCA_000970435,optimum,28
164276,CM5-1,"JCM 32509, CGMCC 1.13553",1,Devosia naphthalenivorans,GCA_003056355,optimum,25
6168,HST3-14,"DSM 23447, JCM 14206, KCTC 12772, CGMCC 1.10441",1,Devosia soli,GCA_014197055,optimum,31
133922,,"NRIC 0884, JCM 18935, KMM 9415",1,Devosia submarina,GCA_003056345,optimum,29
3919,,"DSM 22407, CCUG 55056, LMG 24257, IMP 2, JCM 16028",1,Devriesea agamarum,GCA_900070355,optimum,27.50
158927,5BBH33,"DSM 109768, JCM 33369",1,Dialister hominis,GCA_007164725,optimum,37
17124,,"DSM 21274, JCM 15077, YIT 11850",1,Dialister succinatiphilus,GCA_000242435,optimum,37
4350,B374,"DSM 18020, LMG 25991, NCPPB 898, CFBP 1269, CIP 109008, ICMP 1544, Hayward B374",1,Dickeya dadantii,GCA_000406145,optimum,37.5
4349,,"DSM 18013, CFBP 2051, CIP 109104, ICPB ED102, NCPPB 2976",1,Dickeya dadantii subsp. dieffenbachiae,GCA_000406185,optimum,37.5
4351,,"DSM 18054, CFBP 1200, ICMP 6427, LMG 2485, NCPPB 453, CN 26",1,Dickeya dianthicola,GCA_000365305,optimum,36
4352,Sr58,"DSM 18068, CFBP 2052, ICMP 5704, NCPPB 2538",1,Dickeya zeae,GCA_000406165,optimum,37.5
166540,Uno16,"NBRC 113154, BCRC 81115",1,Dictyobacter alpinus,GCA_003967575,optimum,25.00
140692,S-27,"NBRC 109595, InaCC B312",1,Dictyobacter aurantiacus,GCA_003967515,optimum,27.50
166541,Uno11,"NBRC 113153, LMG 30472, BCRC 81114",1,Dictyobacter kobayashii,GCA_003967555,optimum,25.00
4239,H-6-12,"DSM 3960, ATCC 35947",1,Dictyoglomus thermophilum,GCA_000020965,optimum,75.50
4240,Z-1310,DSM 6724,1,Dictyoglomus turgidum,GCA_000021645,optimum,72
4258,K30-10,"DSM 44907, JCM 13325, MTCC 7007, CCUG 54952, BCRC 16834, CIP 109330, NBRC 105042, NCIMB 14304",1,Dietzia kunjamensis subsp. kunjamensis,GCA_003610395,optimum,25
4261,,"DSM 45139, CCTCC AA 207015, JCM 16003, YIM 65001",1,Dietzia kunjamensis subsp. schimae,GCA_900182685,optimum,28
4255,,"DSM 44904, CCUG 50875, CIP 50875, IMMIB RIV-399, JCM 13663, IFM 10668, NBRC 102147",0,Dietzia maris,GCA_001571065,optimum,28
4259,N 1280,"DSM 44961, NCIMB 14145, JCM 15317, IFM 10921, NBRC 105045",1,Dietzia papillomatosis,GCA_001570845,optimum,28
132486,DHOA34,"DSM 100059, CGMCC 1.15023, KCTC 42632",1,Dinghuibacter silviterrae,GCA_004366355,optimum,29.00
13662,,"DSM 16493, DFL 12",1,Dinoroseobacter shibae,GCA_000018145,optimum,33
23455,S69,"DSM 25762, VKM B-2760",1,Dissulfuribacter thermophilus,GCA_001687335,optimum,61
140917,Sh68,"JCM 19990, VKM B-2854",1,Dissulfurimicrobium hydrothermale,GCA_022026155,optimum,51.00
132569,SH388,"DSM 100025, VKM B-2960",1,Dissulfurirhabdus thermomarina,GCA_010499435,optimum,50
133856,LM2-5,"CGMCC 1.7659, JCM 15763",1,Dokdonella immobilis,GCA_900115085,optimum,25
17450,DS-123,"DSM 17203, KCTC 12396",1,Dokdonella koreensis,GCA_001632775,optimum,30
5505,DSW-1,"DSM 17200, KCTC 12391, CIP 109306",1,Dokdonia donghaensis,GCA_000769435,optimum,30
167968,SH27,"MCCC 1H00358, KCTC 62962, CCTCC AB 2018323",1,Dokdonia sinensis,GCA_003688895,optimum,28
141063,XD80,"CCTCC AB 2015053, KCTC 33636, DSM 104295",1,Domibacillus antri,GCA_001936625,optimum,28
140688,,"KCTC 33830, MTCC 12575, DSM 100929, SAB 38, JCM 32632",1,Domibacillus epiphyticus,GCA_001975785,optimum,37.50
132389,S6,"DSM 29979, CCTCC AB 2015183",1,Domibacillus iocasae,GCA_001750285,optimum,35
140687,,"KCTC 33820, MTCC 12571, DSM 100930, SAOS 44, JCM 32631",1,Domibacillus mangrovi,GCA_001906925,optimum,30
22934,"WS 4628, isolate G 6512, WS 4628, isolate G 6512","DSM 25058, LMG 26645",1,Domibacillus robiginosus,GCA_000966195,optimum,30
24510,SW-277,"DSM 29127, JCM 13604, KCTC 12735, CIP 109518",1,Donghicola eburneus,GCA_900115865,optimum,26
133612,LM22,"CGMCC 1.7660, JCM 15798, BCRC 80546",1,Dongia mobilis,GCA_004363235,optimum,32.50
164191,DM2,"JCM 32096, BCRC 81069",1,Dongshaea marina,GCA_003072645,optimum,30
140270,NYU-BL-A4,"DSM 103457, ATCC TSD-64",1,Dubosiella newyorkensis,GCA_001945605,optimum,37
166326,FT93W,"GDMCC 1.1683, KACC 21475",1,Duganella fentianensis,GCA_009857835,optimum,24
141131,,"KCTC 42409, JCM 30745, DCY 83",1,Massilia ginsengisoli,GCA_009720865,optimum,30
166327,CY13W,"GDMCC 1.1669, KACC 21461",1,Duganella qianjiadongensis,GCA_009857915,optimum,24
133834,Sac-41,"KCTC 22382, NCIMB 14476",1,Duganella radicis,GCA_009720825,optimum,30
133833,Sac-22,"KCTC 22381, NCIMB 14475",1,Duganella sacchari,GCA_900143065,optimum,28
3780,12116,"DSM 23607, CCTCC AB 207176, NRRL B-51268",1,Dyadobacter alkalitolerans,GCA_000428845,optimum,21.5
23879,A54,"DSM 21582, CGMCC 1.6375, JCM 14200, CIP 109570",1,Dyadobacter beijingensis,GCA_000382205,optimum,28
3777,"CP 183-8, CP183-8","DSM 16708, ATCC BAA-1036, KCTC 23639, CIP 109009, VTT E-072669",1,Dyadobacter crusticola,GCA_000701505,optimum,25
132636,65,"DSM 100786, CGMCC 1.15288",1,Dyadobacter endophyticus,GCA_014641595,optimum,30
168496,NS28,"MCCC 1K03764, NBRC 113854",1,Dyadobacter flavalbus,GCA_006149045,optimum,28
167837,AR-3-8,"NBRC 113791, KACC 21173, KEMB 9005-744",1,Dyadobacter frigoris,GCA_005280585,optimum,17.50
130271,AM1R11,"DSM 100346, JCM 17918, KACC 16446",1,Dyadobacter jejuensis,GCA_003149085,optimum,25
3779,WPCB 159,"DSM 19938, KCTC 12537, NBRC 101116",1,Dyadobacter koreensis,GCA_900108855,optimum,25
164417,RS19,"JCM 32940, ACCC 60381, CGMCC 1.13719",1,Dyadobacter luteus,GCA_003383615,optimum,22.50
166429,T17,"KCTC 52981, CCTCC AB 2017091",1,Dyadobacter luticola,GCA_005860805,optimum,25
3782,BZ26,"DSM 22270, CGMCC 1.8951, KCTC 23640, CIP 110129",1,Dyadobacter psychrophilus,GCA_900167945,optimum,12.50
167791,AR-3-6,"KEMB 9005-743, KACC 21172, NBRC 113790",1,Dyadobacter psychrotolerans,GCA_004349265,optimum,17.50
23880,MJ20,"DSM 25329, JCM 16232, KCTC 22481",1,Dyadobacter soli,GCA_900101885,optimum,25
134005,Y620-1,"JCM 18589, CGMCC 1.12215",1,Dyadobacter tibetensis,GCA_000566685,optimum,30
166261,DHC06,"GDMCC 1.1186, LMG 30090",1,Dyella amyloliquefaciens,GCA_004296575,optimum,28
141034,DHOB09,"CGMCC 1.15434, LMG 29202",1,Dyella caseinilytica,GCA_014642815,optimum,26.50
166486,4 M-K27,"GDMCC 1.1189, LMG 30267",1,Dyella choica,GCA_003977665,optimum,28
166487,DHOA06,"KCTC 52129, NBRC 111978",1,Dyella dinghuensis,GCA_003977615,optimum,28
141035,DHOC52,"NBRC 111979, KCTC 52128",1,Dyella flava,GCA_016904955,optimum,28
17453,XD53,"DSM 16301, ATCC BAA-939, IAM 15069, CCUG 58062, JCM 21530, NBRC 102414",1,Dyella japonica,GCA_001010355,optimum,27.5
24670,SBZ3-12,"DSM 26119, CCTCC AB 2012160, KACC 16539",1,Dyella jiangningensis,GCA_000632805,optimum,30
130847,THG-B117,"DSM 100356, JCM 18747, KACC 16981",1,Dyella kyungheensis,GCA_016905005,optimum,27.5
141036,DHON07,"CGMCC 1.15400, NBRC 111475",1,Dyella mobilis,GCA_016904945,optimum,26.50
166465,4 G-K06,"LMG 30268, GDMCC 1.1188",1,Dyella monticola,GCA_003363155,optimum,28
166464,4MSK11,"KCTC 62280, GDMCC 1.1185",1,Dyella psychrodurans,GCA_003363265,optimum,28
17457,JS12-10,"DSM 23154, JCM 15423, KACC 12747",1,Dyella soli,GCA_004336905,optimum,29
17458,JS14-6,"DSM 23153, JCM 15424, KACC 12748",1,Dyella terrae,GCA_004322705,optimum,29
17459,ATSB10,"DSM 25733, KACC 12756, LMG 24673",1,Dyella thiooxydans,GCA_001641285,optimum,30
17719,,"DSM 19836, KCTC 12368, KMM 6172, LMG 23350",1,Echinicola pacifica,GCA_000373245,optimum,26.50
140501,JL3085,"NBRC 111782, CGMCC 1.15407",1,Echinicola rosea,GCA_005281475,optimum,35
133368,,"MEBiC 08714, KCTC 52052, JCM 31307",1,Echinicola strongylocentroti,GCA_003260975,optimum,25
17718,,"DSM 17526, CIP 109902, LMG 23754, KMM 6221",1,Echinicola vietnamensis,GCA_000325705,optimum,31.00
140755,4G-K17,"CGMCC 1.15447, LMG 29212",1,Edaphobacter acidisoli,GCA_014642855,optimum,28
133,Wbg-1,"DSM 19364, ATCC BAA-1497",1,Edaphobacter aggregans,GCA_000745965,optimum,30
159869,4MSH08,"GDMCC 1.1317, KCTC 62475",1,Edaphobacter bradus,GCA_025685645,optimum,28
132350,DHF9,"DSM 29920, CGMCC 1.12997",1,Edaphobacter dinghuensis,GCA_014640335,optimum,30.50
158304,,"DSM 104462, SBC 68, VKM B-3208",1,Tunturiibacter lichenicola,GCA_025264645,optimum,25.00
132,Jbg-1,"DSM 18101, ATCC BAA-1329",1,Edaphobacter modestus,GCA_004217555,optimum,30
166115,HME-24,"KCTC 62977, CGMCC 1.13935",1,Edaphocola flava,GCA_004118155,optimum,30
434,MP4,"DSM 22757, CIP 109385, NCIMB 14276",1,Effusibacillus pohliae,GCA_000376225,optimum,55
141116,,"CGMCC 1.14988, KCTC 33612, EGI 80432, JCM 33036",1,Egicoccus halophilus,GCA_004300825,optimum,30
24749,MD2,"DSM 25217, JCM 30196, LMG 26586",1,Eilatimonas milleporae,GCA_003688555,optimum,30
3833,BiosLi/39,"DSM 19307, CIP 109600, OOB 398, BiosLi 39",1,Ekhidna lutea,GCA_900188325,optimum,30
17879,"DQ417339, TU-7","DSM 17972, CIP 109115",1,Elioraea tepidiphila,GCA_000378465,optimum,47.5
167902,,"KCTC 62323, YIM 72297, CCTCC AB 2017169",1,Elioraea thermophila,GCA_003336755,optimum,55
140756,TH019,"CGMCC 1.15802, LMG 29721",1,Elstera cyanobacteriorum,GCA_002251735,optimum,28
14027,"Dia-1, Nil","DSM 19532, LMG 24234",1,Elstera litoralis,GCA_000963705,optimum,22.5
159732,ZYL,"KCTC 62328, JCM 32378, MCCC 1K03526",1,Paremcibacter congregatus,GCA_002740695,optimum,25
166207,MRS2,"KCTC 62904, NBRC 113550",1,Empedobacter tilapiae,GCA_004785645,optimum,30
168208,THG-DN6.14,"KACC 18540, CGMCC 1.15958",1,Emticicia aquatilis,GCA_014644295,optimum,30.00
3783,GPTSA100-15,"DSM 17448, CIP 109782, MTCC 6937",1,Emticicia oligotrophica,GCA_000263195,optimum,37
133844,"M1MS02, MIMS02","LMG 26838, CECT 8088, CIP 110365",1,Endobacter medicaginis,GCA_013376135,optimum,28
140757,Acr-14,"BCRC 80922, LMG 29482, KCTC 42901",1,Endozoicomonas acroporae,GCA_002864045,optimum,30
134023,EF212,"NCCB 100458, DSM 26535",1,Endozoicomonas euniceicola,GCA_025562755,optimum,26
134024,PS125,"NCCB 100438, CECT 8353",1,Endozoicomonas gorgoniicola,GCA_025562715,optimum,26
133557,CL-33,"LMG 24815, BCRC 17933",1,Endozoicomonas montiporae,GCA_000722565,optimum,25
23035,HC50,"DSM 25634, NBRC 108893",1,Endozoicomonas numazuensis,GCA_000722635,optimum,25
7794,,"DSM 24083, JCM 17352, YIM 100590",1,Enteractinococcus coprophilus,GCA_006716305,optimum,28
132404,"247, 247BMC, EB-247","DSM 29888, NCCB 100573",1,Enterobacter bugandensis,GCA_900324475,optimum,37
166451,"GDMCC1.1427, 90028","CCTCC AB 2018173, CNCTC 7649",1,Enterobacter chuandaensis,GCA_003594915,optimum,35
166452,"GDMCC1.1426, 90008","CCTCC AB 2018174, CNCTC 7648",1,Enterobacter huaxiensis,GCA_003594935,optimum,35
4384,R18-2,"DSM 26271, CGMCC 1.10322, LMG 25706",1,Enterobacter mori,GCA_000211415,optimum,65
2849,CCRI-9842,"DSM 19851, CCUG 54291, JCM 14986, NML 03-A-015, CIP 109511, KCTC 15153",1,Enterocloster lavalensis,GCA_003024655,optimum,36
5346,,"DSM 17690, CCM 7283, CCUG 51308, CIP 108926, LMG 16607, API 8407116",1,Enterococcus aquimarinus,GCA_001885765,optimum,33.5
5351,"SS-1777, SS 1777, 2215-02","DSM 19114, ATCC BAA-1240, CCUG 51564, CCM 7399, CIP 109321",1,Enterococcus caccae,GCA_001885825,optimum,45
5347,"Devriese S33, S33","DSM 21207, CCM 7285, LMG 13590, JCM 19616, CCUG 37857, CCUG 51312, CIP 108927",1,Enterococcus canintestini,GCA_001885735,optimum,37
5348,"L. Devriese M 52, M 52","DSM 22802, CCM 7299, CCUG 37865, LMG 14595, CIP 109076",1,Enterococcus devriesei,GCA_001885905,optimum,24
166174,Gos25-1,"CIP 110956, LMG 29007, NBRC 111461, TISTR 2382",1,Enterococcus florum,GCA_004309355,optimum,33.50
5344,,"DSM 17122, CCUG 48100, CIP 108559, LMG 12317",1,Enterococcus hermanniensis,GCA_001885945,optimum,13.5
